size,model,precision,recall,roc_auc,accuracy,f1_score
9998,xgb,0.6667,0.6667,0.6667,0.6667,0.6667
9998,rf,0.6154,0.8889,0.6667,0.6667,0.7273
19997,xgb,0.5,0.6154,0.5,0.5,0.5517
19997,rf,0.4,0.4615,0.3846,0.3846,0.4286
40000,xgb,0.5604,0.593,0.564,0.564,0.5763
40000,rf,0.6517,0.6744,0.657,0.657,0.6629
59999,xgb,0.6221,0.6185,0.6214,0.6214,0.6203
59999,rf,0.6727,0.6416,0.6647,0.6647,0.6568
79999,xgb,0.6043,0.5367,0.5927,0.5927,0.5685
79999,rf,0.677,0.6294,0.6645,0.6645,0.6523
99999,xgb,0.619,0.55,0.6058,0.6058,0.5825
99999,rf,0.6703,0.5942,0.651,0.651,0.63
124998,xgb,0.6353,0.5576,0.6187,0.6187,0.5939
124998,rf,0.6573,0.5716,0.6368,0.6368,0.6115
149999,xgb,0.621,0.5498,0.6071,0.6071,0.5832
149999,rf,0.6453,0.546,0.6229,0.6229,0.5915
174997,xgb,0.6562,0.5493,0.6308,0.6308,0.598
174997,rf,0.6926,0.5721,0.6591,0.6591,0.6266
199999,xgb,0.6439,0.5276,0.6179,0.6179,0.5799
199999,rf,0.7025,0.5588,0.6611,0.6611,0.6225
225000,xgb,0.6629,0.5716,0.6405,0.6405,0.6139
225000,rf,0.709,0.5489,0.6618,0.6618,0.6188
249999,xgb,0.6694,0.5841,0.6478,0.6478,0.6239
249999,rf,0.745,0.549,0.6805,0.6805,0.6322
274999,xgb,0.6932,0.4909,0.6368,0.6368,0.5748
274999,rf,0.7479,0.4768,0.658,0.658,0.5824
299999,xgb,0.6749,0.5282,0.6369,0.6369,0.5926
299999,rf,0.7381,0.4774,0.654,0.654,0.5798
