size,model,precision,recall,roc_auc,accuracy,f1_score
9998,xgb,0.75,0.6667,0.7222,0.7222,0.7059
9998,rf,0.75,0.6667,0.7222,0.7222,0.7059
19997,xgb,0.6667,0.4615,0.6154,0.6154,0.5455
19997,rf,0.6667,0.4615,0.6154,0.6154,0.5455
40000,xgb,0.76,0.6628,0.7267,0.7267,0.7081
40000,rf,0.76,0.6628,0.7267,0.7267,0.7081
59999,xgb,0.7267,0.6301,0.6965,0.6965,0.6749
59999,rf,0.7267,0.6301,0.6965,0.6965,0.6749
79999,xgb,0.7308,0.6677,0.7109,0.7109,0.6978
79999,rf,0.7298,0.6645,0.7093,0.7093,0.6957
99999,xgb,0.742,0.6692,0.7183,0.7183,0.7037
99999,rf,0.742,0.6692,0.7183,0.7183,0.7037
124998,xgb,0.7293,0.6868,0.7159,0.7159,0.7074
124998,rf,0.7293,0.6868,0.7159,0.7159,0.7074
149999,xgb,0.736,0.6538,0.7097,0.7097,0.6925
149999,rf,0.7358,0.6531,0.7093,0.7093,0.692
174997,xgb,0.7234,0.6398,0.6976,0.6976,0.6791
174997,rf,0.7227,0.6375,0.6964,0.6964,0.6774
199999,xgb,0.7156,0.6544,0.6972,0.6972,0.6836
199999,rf,0.7146,0.6512,0.6955,0.6955,0.6814
225000,xgb,0.7183,0.6627,0.7014,0.7014,0.6894
225000,rf,0.7199,0.6616,0.7021,0.7021,0.6895
249999,xgb,0.7151,0.6545,0.6968,0.6968,0.6834
249999,rf,0.715,0.6542,0.6967,0.6967,0.6832
274999,xgb,0.716,0.6531,0.697,0.697,0.6831
274999,rf,0.716,0.6526,0.6969,0.6969,0.6828
299999,xgb,0.7127,0.6512,0.6944,0.6944,0.6806
299999,rf,0.7131,0.6514,0.6947,0.6947,0.6809
324999,xgb,0.7144,0.66,0.6981,0.6981,0.6862
324999,rf,0.7137,0.6579,0.697,0.697,0.6847
