size,model,precision,recall,roc_auc,accuracy,f1_score
9998,xgb,0.5714,0.4444,0.5556,0.5556,0.5
9998,rf,0.4545,0.5556,0.4444,0.4444,0.5
19997,xgb,0.25,0.2308,0.2692,0.2692,0.24
19997,rf,0.1429,0.0769,0.3077,0.3077,0.1
40000,xgb,0.3906,0.2907,0.4186,0.4186,0.3333
40000,rf,0.3922,0.2326,0.436,0.436,0.292
59999,xgb,0.5495,0.578,0.552,0.552,0.5634
59999,rf,0.546,0.5491,0.5462,0.5462,0.5476
79999,xgb,0.6134,0.6134,0.6134,0.6134,0.6134
79999,rf,0.5817,0.5687,0.5799,0.5799,0.5751
99999,xgb,0.5573,0.5615,0.5577,0.5577,0.5594
99999,rf,0.5489,0.5288,0.5471,0.5471,0.5387
124998,xgb,0.5847,0.603,0.5873,0.5873,0.5937
124998,rf,0.5947,0.6217,0.599,0.599,0.6079
149999,xgb,0.5886,0.6011,0.5905,0.5905,0.5948
149999,rf,0.5546,0.5475,0.5539,0.5539,0.551
174997,xgb,0.598,0.6305,0.6033,0.6033,0.6138
174997,rf,0.5748,0.5768,0.575,0.575,0.5758
199999,xgb,0.601,0.6222,0.6045,0.6045,0.6114
199999,rf,0.598,0.6057,0.5993,0.5993,0.6018
225000,xgb,0.6184,0.6392,0.6224,0.6224,0.6287
225000,rf,0.6079,0.6109,0.6084,0.6084,0.6094
249999,xgb,0.6461,0.6954,0.6572,0.6572,0.6698
249999,rf,0.6204,0.6184,0.62,0.62,0.6194
274999,xgb,0.6339,0.6407,0.6353,0.6353,0.6373
274999,rf,0.6242,0.6227,0.6239,0.6239,0.6235
299999,xgb,0.6381,0.6488,0.6404,0.6404,0.6434
299999,rf,0.6373,0.6432,0.6386,0.6386,0.6402
