size,model,precision,recall,roc_auc,accuracy,f1_score
7500,xgb,0.9811,0.9286,0.9554,0.9554,0.9541
7500,rf,0.9815,0.9464,0.9643,0.9643,0.9636
12458,xgb,0.9712,0.9,0.9367,0.9367,0.9343
12458,rf,0.9769,0.8467,0.9133,0.9133,0.9071
17771,xgb,0.9504,0.9055,0.929,0.929,0.9274
17771,rf,0.9482,0.8655,0.909,0.9089,0.9049
22988,xgb,0.9552,0.8974,0.9276,0.9276,0.9254
22988,rf,0.9556,0.85,0.9053,0.9053,0.8997
30166,xgb,0.9385,0.8321,0.8888,0.8888,0.8821
30166,rf,0.9426,0.8479,0.8981,0.8981,0.8927
36890,xgb,0.9434,0.8667,0.9073,0.9073,0.9034
36890,rf,0.9487,0.8565,0.9051,0.9051,0.9002
44474,xgb,0.9258,0.8858,0.9074,0.9074,0.9054
44474,rf,0.9354,0.8622,0.9013,0.9013,0.8973
52258,xgb,0.9253,0.876,0.9026,0.9026,0.9
52258,rf,0.9218,0.8622,0.8945,0.8945,0.891
60059,xgb,0.9111,0.8626,0.8892,0.8892,0.8862
60059,rf,0.9034,0.8335,0.8722,0.8722,0.867
68686,xgb,0.9136,0.8655,0.8918,0.8918,0.8889
68686,rf,0.9166,0.862,0.8918,0.8918,0.8885
77275,xgb,0.9156,0.8482,0.885,0.885,0.8806
77275,rf,0.9116,0.8294,0.8745,0.8745,0.8686
85130,xgb,0.915,0.8213,0.8725,0.8725,0.8656
85130,rf,0.9106,0.7881,0.8554,0.8554,0.8449
94061,xgb,0.9037,0.8443,0.8772,0.8772,0.873
94061,rf,0.9094,0.8267,0.8722,0.8722,0.8661
103457,xgb,0.9042,0.7897,0.853,0.853,0.8431
103457,rf,0.9105,0.792,0.8571,0.8571,0.8471
113250,xgb,0.9037,0.8186,0.8657,0.8657,0.8591
113250,rf,0.9047,0.7982,0.8571,0.8571,0.8481
