size,model,precision,recall,roc_auc,accuracy,f1_score
7500,xgb,1.0,0.9643,0.9821,0.9821,0.9818
7500,rf,0.9767,0.75,0.8661,0.8661,0.8485
12458,xgb,0.9597,0.9533,0.9567,0.9567,0.9565
12458,rf,0.9478,0.7267,0.8433,0.8433,0.8226
17771,xgb,0.9449,0.8727,0.9108,0.9107,0.9074
17771,rf,0.933,0.7091,0.829,0.8288,0.8058
22988,xgb,0.9551,0.7842,0.8737,0.8737,0.8613
22988,rf,0.9551,0.7842,0.8737,0.8737,0.8613
30166,xgb,0.9424,0.7518,0.8529,0.8529,0.8364
30166,rf,0.9457,0.7489,0.8529,0.8529,0.8359
36890,xgb,0.967,0.7277,0.8514,0.8514,0.8304
36890,rf,0.9669,0.7266,0.8508,0.8508,0.8297
44474,xgb,0.938,0.7529,0.8515,0.8515,0.8353
44474,rf,0.9379,0.7512,0.8507,0.8507,0.8342
52258,xgb,0.961,0.7531,0.8613,0.8613,0.8445
52258,rf,0.9559,0.7531,0.8592,0.8592,0.8425
60059,xgb,0.9103,0.7338,0.8308,0.8308,0.8126
60059,rf,0.911,0.7316,0.8301,0.8301,0.8115
68686,xgb,0.9206,0.7575,0.8461,0.8461,0.8311
68686,rf,0.9222,0.756,0.8461,0.8461,0.8308
77275,xgb,0.9077,0.7512,0.8374,0.8374,0.822
77275,rf,0.908,0.7481,0.8361,0.8361,0.8203
85130,xgb,0.9315,0.7226,0.8347,0.8347,0.8138
85130,rf,0.9323,0.7176,0.8327,0.8327,0.8109
94061,xgb,0.9308,0.7551,0.8494,0.8494,0.8337
94061,rf,0.9298,0.7508,0.8471,0.8471,0.8308
103457,xgb,0.9229,0.7434,0.8407,0.8407,0.8235
103457,rf,0.9241,0.739,0.8391,0.8391,0.8212
113250,xgb,0.917,0.7394,0.8362,0.8362,0.8187
113250,rf,0.9192,0.7344,0.8349,0.8349,0.8165
