size,model,precision,recall,roc_auc,accuracy,f1_score
7500,xgb,0.9483,0.9821,0.9643,0.9643,0.9649
7500,rf,0.9483,0.9821,0.9643,0.9643,0.9649
12458,xgb,0.9605,0.9733,0.9667,0.9667,0.9669
12458,rf,0.9536,0.96,0.9567,0.9567,0.9568
17771,xgb,0.9631,0.9491,0.9563,0.9563,0.956
17771,rf,0.9493,0.9527,0.9508,0.9508,0.951
22988,xgb,0.9598,0.9421,0.9513,0.9513,0.9509
22988,rf,0.9576,0.8921,0.9263,0.9263,0.9237
30166,xgb,0.9239,0.8364,0.8838,0.8838,0.878
30166,rf,0.9246,0.8264,0.8795,0.8795,0.8727
36890,xgb,0.9473,0.9141,0.9316,0.9316,0.9304
36890,rf,0.945,0.8927,0.9203,0.9203,0.9181
44474,xgb,0.9287,0.8817,0.907,0.907,0.9046
44474,rf,0.9262,0.8393,0.8862,0.8862,0.8806
52258,xgb,0.9195,0.9035,0.9122,0.9122,0.9115
52258,rf,0.9227,0.8939,0.9095,0.9095,0.9081
60059,xgb,0.9159,0.8972,0.9074,0.9074,0.9065
60059,rf,0.9124,0.8858,0.9004,0.9004,0.8989
68686,xgb,0.9151,0.9028,0.9095,0.9095,0.9089
68686,rf,0.9132,0.8974,0.906,0.906,0.9052
77275,xgb,0.8981,0.8716,0.8863,0.8863,0.8847
77275,rf,0.8945,0.8072,0.856,0.856,0.8486
85130,xgb,0.9087,0.8623,0.8879,0.8879,0.8849
85130,rf,0.9067,0.8336,0.8739,0.8739,0.8686
94061,xgb,0.903,0.86,0.8838,0.8838,0.881
94061,rf,0.9029,0.8765,0.8911,0.8911,0.8895
103457,xgb,0.8976,0.8275,0.8665,0.8665,0.8611
103457,rf,0.9057,0.8069,0.8614,0.8614,0.8534
113250,xgb,0.8964,0.8403,0.8715,0.8715,0.8674
113250,rf,0.8978,0.8226,0.8645,0.8645,0.8586
