size,model,precision,recall,roc_auc,accuracy,f1_score
50000,xgb,0.7135,0.6063,0.6814,0.6814,0.6555
50000,rf,0.7126,0.6031,0.6799,0.6799,0.6533
99999,xgb,0.7193,0.6084,0.6855,0.6855,0.6592
99999,rf,0.7184,0.6052,0.684,0.684,0.6569
150000,xgb,0.7211,0.6078,0.6864,0.6864,0.6596
150000,rf,0.7198,0.6031,0.6841,0.6841,0.6563
199999,xgb,0.7184,0.6056,0.6841,0.6841,0.6572
199999,rf,0.7153,0.5955,0.6792,0.6792,0.6499
249999,xgb,0.7181,0.6078,0.6846,0.6846,0.6584
249999,rf,0.7144,0.5954,0.6787,0.6787,0.6495
299999,xgb,0.7181,0.606,0.6841,0.6841,0.6573
299999,rf,0.7171,0.6023,0.6823,0.6823,0.6547
349999,xgb,0.7176,0.6075,0.6842,0.6842,0.658
349999,rf,0.713,0.5934,0.6772,0.6772,0.6477
399999,xgb,0.7162,0.6088,0.6838,0.6838,0.6581
399999,rf,0.7145,0.6031,0.6811,0.6811,0.6541
449998,xgb,0.7164,0.6113,0.6846,0.6846,0.6597
449998,rf,0.7142,0.6043,0.6812,0.6812,0.6547
499999,xgb,0.7163,0.6122,0.6849,0.6849,0.6602
499999,rf,0.7155,0.6079,0.6831,0.6831,0.6573
549999,xgb,0.7158,0.6129,0.6848,0.6848,0.6604
549999,rf,0.7155,0.6103,0.6838,0.6838,0.6587
