size,model,precision,recall,roc_auc,accuracy,f1_score
50000,xgb,0.6558,0.5546,0.6318,0.6317,0.601
50000,rf,0.6437,0.5218,0.6165,0.6165,0.5764
99999,xgb,0.6739,0.5462,0.6409,0.6409,0.6033
99999,rf,0.6956,0.5536,0.6557,0.6557,0.6166
150000,xgb,0.6834,0.5187,0.6392,0.6392,0.5898
150000,rf,0.6942,0.4972,0.6391,0.6391,0.5794
199999,xgb,0.7298,0.6014,0.6894,0.6894,0.6594
199999,rf,0.7483,0.5746,0.6906,0.6906,0.65
249999,xgb,0.7505,0.6358,0.7122,0.7122,0.6884
249999,rf,0.748,0.5493,0.6821,0.6821,0.6334
299999,xgb,0.7544,0.6133,0.7068,0.7068,0.6766
299999,rf,0.765,0.5562,0.6927,0.6927,0.6441
349999,xgb,0.7566,0.5808,0.697,0.6969,0.6571
349999,rf,0.7727,0.5397,0.6905,0.6905,0.6355
399999,xgb,0.738,0.5192,0.6674,0.6674,0.6095
399999,rf,0.7747,0.5058,0.6794,0.6794,0.612
449998,xgb,0.7638,0.5506,0.6902,0.6902,0.6399
449998,rf,0.7842,0.5036,0.6825,0.6825,0.6133
499999,xgb,0.7597,0.5241,0.6792,0.6792,0.6203
499999,rf,0.7844,0.478,0.6733,0.6733,0.594
549999,xgb,0.7904,0.5746,0.7111,0.7111,0.6654
549999,rf,0.8086,0.5186,0.6979,0.6979,0.6319
