size,model,precision,recall,roc_auc,accuracy,f1_score
50000,xgb,0.6407,0.6006,0.6319,0.6319,0.62
50000,rf,0.6407,0.6006,0.6319,0.6319,0.62
99999,xgb,0.6553,0.6102,0.6446,0.6446,0.632
99999,rf,0.6553,0.6102,0.6446,0.6446,0.632
150000,xgb,0.7166,0.5995,0.6812,0.6812,0.6529
150000,rf,0.7166,0.5995,0.6812,0.6812,0.6529
199999,xgb,0.6942,0.5729,0.6603,0.6603,0.6278
199999,rf,0.6942,0.5729,0.6603,0.6603,0.6278
249999,xgb,0.7126,0.5513,0.6645,0.6645,0.6217
249999,rf,0.7126,0.5513,0.6645,0.6645,0.6217
300000,xgb,0.7883,0.5473,0.7002,0.7002,0.6461
300000,rf,0.7883,0.5473,0.7002,0.7002,0.6461
350000,xgb,0.7453,0.5071,0.6669,0.6669,0.6036
350000,rf,0.7453,0.5071,0.6669,0.6669,0.6036
400000,xgb,0.7756,0.5015,0.6782,0.6782,0.6091
400000,rf,0.7756,0.5015,0.6782,0.6782,0.6091
450000,xgb,0.8034,0.4806,0.6815,0.6815,0.6014
450000,rf,0.8034,0.4806,0.6815,0.6815,0.6014
499999,xgb,0.8224,0.4544,0.6781,0.6781,0.5854
499999,rf,0.8224,0.4544,0.6781,0.6781,0.5854
550000,xgb,0.8029,0.4735,0.6786,0.6786,0.5957
550000,rf,0.8029,0.4735,0.6786,0.6786,0.5957
999999,xgb,0.8245,0.3948,0.6554,0.6554,0.534
999999,rf,0.8245,0.3948,0.6554,0.6554,0.534
1999998,xgb,0.8178,0.3686,0.6433,0.6432,0.5082
1999998,rf,0.8178,0.3686,0.6433,0.6432,0.5082
