size,model,precision,recall,roc_auc,accuracy,f1_score
50000,xgb,0.6295,0.7068,0.6454,0.6454,0.6659
50000,rf,0.6295,0.7068,0.6454,0.6454,0.6659
99999,xgb,0.6562,0.7799,0.6857,0.6857,0.7127
99999,rf,0.6562,0.7799,0.6857,0.6857,0.7127
150000,xgb,0.6645,0.7999,0.698,0.698,0.7259
150000,rf,0.6645,0.7999,0.698,0.698,0.7259
199999,xgb,0.6595,0.7657,0.6852,0.6852,0.7086
199999,rf,0.6595,0.7657,0.6852,0.6852,0.7086
249999,xgb,0.6642,0.7655,0.6892,0.6892,0.7113
249999,rf,0.6642,0.7655,0.6892,0.6892,0.7113
300000,xgb,0.6634,0.7577,0.6867,0.6867,0.7075
300000,rf,0.6634,0.7577,0.6867,0.6867,0.7075
350000,xgb,0.6627,0.7427,0.6823,0.6823,0.7004
350000,rf,0.6627,0.7427,0.6823,0.6823,0.7004
400000,xgb,0.661,0.7142,0.674,0.674,0.6866
400000,rf,0.661,0.7142,0.674,0.674,0.6866
450000,xgb,0.6619,0.7085,0.6733,0.6733,0.6844
450000,rf,0.6619,0.7085,0.6733,0.6733,0.6844
499999,xgb,0.6638,0.7029,0.6734,0.6734,0.6828
499999,rf,0.6638,0.7029,0.6734,0.6734,0.6828
550000,xgb,0.6656,0.6898,0.6717,0.6717,0.6775
550000,rf,0.6656,0.6898,0.6717,0.6717,0.6775
999999,xgb,0.6869,0.615,0.6673,0.6673,0.649
999999,rf,0.6869,0.615,0.6673,0.6673,0.649
1999998,xgb,0.7409,0.5272,0.6714,0.6714,0.616
1999998,rf,0.7409,0.5272,0.6714,0.6714,0.616
