day,model,method,precision,recall,roc_auc,accuracy,f1_score
07-29,xgb,heuristic,0.7344,0.6818,0.7177,0.7177,0.7072
07-29,rf,heuristic,0.7344,0.6818,0.7177,0.7177,0.7072
07-29,xgb,node2vec,0.6529,0.7632,0.6787,0.6787,0.7038
07-29,rf,node2vec,0.6529,0.7632,0.6787,0.6787,0.7038
07-29,xgb,deepwalk,0.6477,0.6087,0.6388,0.6388,0.6276
07-29,rf,deepwalk,0.6477,0.6087,0.6388,0.6388,0.6276
07-30,xgb,heuristic,0.7315,0.6714,0.7125,0.7125,0.7002
07-30,rf,heuristic,0.7315,0.6714,0.7125,0.7125,0.7002
07-30,xgb,node2vec,0.6627,0.7985,0.6961,0.6961,0.7243
07-30,rf,node2vec,0.6627,0.7985,0.6961,0.6961,0.7243
07-30,xgb,deepwalk,0.647,0.626,0.6422,0.6422,0.6363
07-30,rf,deepwalk,0.647,0.626,0.6422,0.6422,0.6363
07-31,xgb,heuristic,0.7306,0.6786,0.7142,0.7142,0.7036
07-31,rf,heuristic,0.7306,0.6786,0.7142,0.7142,0.7036
07-31,xgb,node2vec,0.6669,0.811,0.7029,0.7029,0.7319
07-31,rf,node2vec,0.6669,0.811,0.7029,0.7029,0.7319
07-31,xgb,deepwalk,0.6526,0.6332,0.648,0.648,0.6427
07-31,rf,deepwalk,0.6526,0.6332,0.648,0.648,0.6427
08-01,xgb,heuristic,0.7274,0.6644,0.7077,0.7077,0.6945
08-01,rf,heuristic,0.7274,0.6644,0.7077,0.7077,0.6945
08-01,xgb,node2vec,0.6607,0.7837,0.6906,0.6906,0.717
08-01,rf,node2vec,0.6607,0.7837,0.6906,0.6906,0.717
08-01,xgb,deepwalk,0.6452,0.5986,0.6347,0.6347,0.621
08-01,rf,deepwalk,0.6452,0.5986,0.6347,0.6347,0.621
08-02,xgb,heuristic,0.727,0.6699,0.7092,0.7092,0.6973
08-02,rf,heuristic,0.727,0.6699,0.7092,0.7092,0.6973
08-02,xgb,node2vec,0.631,0.6939,0.6441,0.6441,0.661
08-02,rf,node2vec,0.631,0.6939,0.6441,0.6441,0.661
08-02,xgb,deepwalk,0.6385,0.6046,0.6312,0.6312,0.6211
08-02,rf,deepwalk,0.6385,0.6046,0.6312,0.6312,0.6211
08-03,xgb,heuristic,0.7287,0.6738,0.7115,0.7115,0.7002
08-03,rf,heuristic,0.7287,0.6738,0.7115,0.7115,0.7002
08-03,xgb,node2vec,0.6507,0.759,0.6758,0.6758,0.7007
08-03,rf,node2vec,0.6507,0.759,0.6758,0.6758,0.7007
08-03,xgb,deepwalk,0.6426,0.6113,0.6356,0.6356,0.6265
08-03,rf,deepwalk,0.6426,0.6113,0.6356,0.6356,0.6265
08-04,xgb,heuristic,0.7351,0.6819,0.7181,0.7181,0.7075
08-04,rf,heuristic,0.7351,0.6819,0.7181,0.7181,0.7075
08-04,xgb,node2vec,0.6628,0.7972,0.6958,0.6958,0.7238
08-04,rf,node2vec,0.6628,0.7972,0.6958,0.6958,0.7238
08-04,xgb,deepwalk,0.6428,0.6049,0.6344,0.6344,0.6233
08-04,rf,deepwalk,0.6428,0.6049,0.6344,0.6344,0.6233
08-05,xgb,heuristic,0.7337,0.6894,0.7196,0.7196,0.7109
08-05,rf,heuristic,0.7337,0.6894,0.7196,0.7196,0.7109
08-05,xgb,node2vec,0.6426,0.7361,0.6634,0.6634,0.6862
08-05,rf,node2vec,0.6426,0.7361,0.6634,0.6634,0.6862
08-05,xgb,deepwalk,0.6362,0.6035,0.6292,0.6292,0.6194
08-05,rf,deepwalk,0.6362,0.6035,0.6292,0.6292,0.6194
08-06,xgb,heuristic,0.7335,0.6804,0.7166,0.7166,0.706
08-06,rf,heuristic,0.7335,0.6804,0.7166,0.7166,0.706
08-06,xgb,node2vec,0.6622,0.8035,0.6968,0.6968,0.726
08-06,rf,node2vec,0.6622,0.8035,0.6968,0.6968,0.726
08-06,xgb,deepwalk,0.6327,0.6019,0.6262,0.6262,0.6169
08-06,rf,deepwalk,0.6327,0.6019,0.6262,0.6262,0.6169
08-07,xgb,heuristic,0.7364,0.6952,0.7232,0.7232,0.7152
08-07,rf,heuristic,0.7364,0.6952,0.7232,0.7232,0.7152
08-07,xgb,node2vec,0.6389,0.7178,0.656,0.656,0.676
08-07,rf,node2vec,0.6389,0.7178,0.656,0.656,0.676
08-07,xgb,deepwalk,0.6373,0.5864,0.6264,0.6264,0.6108
08-07,rf,deepwalk,0.6373,0.5864,0.6264,0.6264,0.6108
08-08,xgb,heuristic,0.7333,0.6889,0.7192,0.7192,0.7104
08-08,rf,heuristic,0.7333,0.6889,0.7192,0.7192,0.7104
08-08,xgb,node2vec,0.6116,0.6432,0.6174,0.6174,0.627
08-08,rf,node2vec,0.6116,0.6432,0.6174,0.6174,0.627
08-08,xgb,deepwalk,0.6305,0.5902,0.6222,0.6222,0.6097
08-08,rf,deepwalk,0.6305,0.5902,0.6222,0.6222,0.6097
08-09,xgb,heuristic,0.7313,0.6781,0.7144,0.7144,0.7037
08-09,rf,heuristic,0.7313,0.6781,0.7144,0.7144,0.7037
08-09,xgb,node2vec,0.6577,0.78,0.687,0.687,0.7137
08-09,rf,node2vec,0.6577,0.78,0.687,0.687,0.7137
08-09,xgb,deepwalk,0.642,0.6142,0.6359,0.6359,0.6278
