size,model,precision,recall,roc_auc,accuracy,f1_score
50000,xgb,0.7317,0.6663,0.711,0.711,0.6975
50000,rf,0.7317,0.6663,0.711,0.711,0.6975
100000,xgb,0.7207,0.6547,0.7005,0.7005,0.6862
100000,rf,0.7207,0.6547,0.7005,0.7005,0.6862
149999,xgb,0.719,0.6488,0.6976,0.6976,0.6821
149999,rf,0.719,0.6488,0.6976,0.6976,0.6821
199999,xgb,0.7156,0.639,0.6925,0.6925,0.6751
199999,rf,0.7156,0.639,0.6925,0.6925,0.6751
249999,xgb,0.712,0.63,0.6876,0.6876,0.6685
249999,rf,0.712,0.63,0.6876,0.6876,0.6685
299999,xgb,0.7101,0.6239,0.6846,0.6846,0.6642
299999,rf,0.7101,0.6239,0.6846,0.6846,0.6642
350000,xgb,0.7074,0.6176,0.6811,0.6811,0.6594
350000,rf,0.7074,0.6176,0.6811,0.6811,0.6594
