size,model,precision,recall,roc_auc,accuracy,f1_score
49999,xgb,0.6614,0.4844,0.6182,0.6182,0.5592
49999,rf,0.6614,0.4844,0.6182,0.6182,0.5592
99999,xgb,0.7098,0.4356,0.6287,0.6287,0.5399
99999,rf,0.7098,0.4356,0.6287,0.6287,0.5399
149999,xgb,0.8515,0.4979,0.7055,0.7055,0.6284
149999,rf,0.8515,0.4979,0.7055,0.7055,0.6284
199999,xgb,0.8351,0.4106,0.6647,0.6647,0.5505
199999,rf,0.8351,0.4106,0.6647,0.6647,0.5505
249999,xgb,0.8892,0.4817,0.7109,0.7109,0.6249
249999,rf,0.8892,0.4817,0.7109,0.7109,0.6249
300000,xgb,0.9003,0.457,0.7032,0.7032,0.6062
300000,rf,0.9003,0.457,0.7032,0.7032,0.6062
349999,xgb,0.9268,0.4449,0.7049,0.7049,0.6012
349999,rf,0.9268,0.4449,0.7049,0.7049,0.6012
399999,xgb,0.8452,0.4112,0.668,0.668,0.5533
399999,rf,0.8452,0.4112,0.668,0.668,0.5533
450000,xgb,0.8988,0.3977,0.6765,0.6765,0.5514
450000,rf,0.8988,0.3977,0.6765,0.6765,0.5514
500000,xgb,0.8989,0.4263,0.6892,0.6892,0.5783
500000,rf,0.8989,0.4263,0.6892,0.6892,0.5783
550000,xgb,0.9229,0.4134,0.6894,0.6894,0.571
550000,rf,0.9229,0.4134,0.6894,0.6894,0.571
599999,xgb,0.8799,0.417,0.68,0.68,0.5658
599999,rf,0.8799,0.417,0.68,0.68,0.5658
649999,xgb,0.8504,0.4296,0.677,0.677,0.5708
649999,rf,0.8504,0.4296,0.677,0.677,0.5708
699999,xgb,0.9333,0.3841,0.6783,0.6783,0.5443
699999,rf,0.9333,0.3841,0.6783,0.6783,0.5443
749999,xgb,0.9408,0.4021,0.6884,0.6884,0.5634
749999,rf,0.9408,0.4021,0.6884,0.6884,0.5634
799999,xgb,0.8991,0.3838,0.6704,0.6704,0.538
799999,rf,0.8991,0.3838,0.6704,0.6704,0.538
999999,xgb,0.8949,0.3812,0.6682,0.6682,0.5346
999999,rf,0.8949,0.3812,0.6682,0.6682,0.5346
1499999,xgb,0.8823,0.3942,0.6708,0.6708,0.5449
1499999,rf,0.8823,0.3942,0.6708,0.6708,0.5449
1999999,xgb,0.896,0.3874,0.6712,0.6712,0.5409
1999999,rf,0.896,0.3874,0.6712,0.6712,0.5409
