size,model,precision,recall,roc_auc,accuracy,f1_score
25279,xgb,0.8167,0.5192,0.7013,0.7013,0.6348
25279,rf,0.8177,0.5225,0.703,0.703,0.6376
50772,xgb,0.8206,0.4974,0.6943,0.6943,0.6194
50772,rf,0.8188,0.5025,0.6957,0.6957,0.6228
76397,xgb,0.8366,0.5137,0.7067,0.7067,0.6365
76397,rf,0.8292,0.508,0.7017,0.7017,0.63
101399,xgb,0.8331,0.5279,0.7111,0.7111,0.6463
101399,rf,0.819,0.5056,0.6969,0.6969,0.6252
203338,xgb,0.833,0.5178,0.707,0.707,0.6386
203338,rf,0.8232,0.5145,0.702,0.702,0.6332
305525,xgb,0.8398,0.4988,0.7018,0.7018,0.6259
305525,rf,0.8276,0.5036,0.6993,0.6993,0.6261
406486,xgb,0.8349,0.513,0.7058,0.7058,0.6355
406486,rf,0.8217,0.5089,0.6993,0.6993,0.6286
508041,xgb,0.841,0.5125,0.7078,0.7078,0.6369
508041,rf,0.8281,0.5131,0.7033,0.7033,0.6336
