size,model,precision,recall,roc_auc,accuracy,f1_score
25279,xgb,0.6823,0.5154,0.6377,0.6377,0.5872
25279,rf,0.6834,0.5092,0.6366,0.6366,0.5836
50772,xgb,0.6779,0.5358,0.6406,0.6406,0.5985
50772,rf,0.6783,0.5274,0.6386,0.6386,0.5934
76397,xgb,0.6803,0.5288,0.6402,0.6402,0.5951
76397,rf,0.6798,0.5278,0.6396,0.6396,0.5942
101399,xgb,0.6873,0.5351,0.6458,0.6458,0.6017
101399,rf,0.686,0.535,0.6451,0.645,0.6012
203338,xgb,0.6867,0.5399,0.6468,0.6468,0.6046
203338,rf,0.685,0.5343,0.6443,0.6443,0.6003
305525,xgb,0.685,0.5461,0.6475,0.6475,0.6077
305525,rf,0.6855,0.5455,0.6476,0.6476,0.6076
406486,xgb,0.686,0.551,0.6494,0.6494,0.6111
406486,rf,0.6862,0.5507,0.6494,0.6494,0.611
508041,xgb,0.685,0.5494,0.6484,0.6484,0.6098
508041,rf,0.685,0.5495,0.6484,0.6484,0.6098
