size,model,precision,recall,roc_auc,accuracy,f1_score
25279,xgb,0.77,0.457,0.6602,0.6602,0.5736
25279,rf,0.767,0.4863,0.6693,0.6693,0.5952
50772,xgb,0.7903,0.4226,0.6553,0.6553,0.5508
50772,rf,0.7972,0.4782,0.6783,0.6783,0.5978
76397,xgb,0.8154,0.4747,0.6836,0.6836,0.6
76397,rf,0.8013,0.4867,0.683,0.683,0.6056
101399,xgb,0.8041,0.441,0.6668,0.6668,0.5696
101399,rf,0.7981,0.4813,0.6798,0.6798,0.6005
203338,xgb,0.806,0.463,0.6758,0.6758,0.5882
203338,rf,0.8047,0.5066,0.6918,0.6918,0.6218
305525,xgb,0.8242,0.51,0.7006,0.7006,0.6301
305525,rf,0.8207,0.529,0.7067,0.7067,0.6433
406486,xgb,0.8227,0.4935,0.6936,0.6936,0.6169
406486,rf,0.8218,0.5071,0.6986,0.6986,0.6272
508041,xgb,0.8293,0.5137,0.704,0.704,0.6344
508041,rf,0.828,0.5242,0.7076,0.7076,0.642
