size,model,precision,recall,roc_auc,accuracy,f1_score
14420,xgb,0.7016,0.5888,0.6692,0.6692,0.6403
14420,rf,0.702,0.5828,0.6677,0.6677,0.6368
27689,xgb,0.6849,0.5823,0.6571,0.6571,0.6294
27689,rf,0.6844,0.5804,0.6564,0.6564,0.6282
40863,xgb,0.6889,0.5684,0.6558,0.6558,0.6229
40863,rf,0.6878,0.5659,0.6545,0.6544,0.6209
54353,xgb,0.6892,0.5826,0.6599,0.6599,0.6314
54353,rf,0.6881,0.5776,0.6579,0.6579,0.628
68040,xgb,0.6994,0.6115,0.6743,0.6743,0.6525
68040,rf,0.6987,0.6086,0.6731,0.6731,0.6506
82324,xgb,0.7004,0.5963,0.6706,0.6706,0.6442
82324,rf,0.6998,0.5952,0.6699,0.6699,0.6433
94816,xgb,0.6968,0.603,0.6703,0.6703,0.6465
94816,rf,0.6962,0.5996,0.669,0.669,0.6443
109504,xgb,0.6967,0.5967,0.6684,0.6684,0.6428
109504,rf,0.6969,0.5969,0.6686,0.6686,0.643
123033,xgb,0.6948,0.5998,0.6682,0.6682,0.6438
123033,rf,0.694,0.597,0.6669,0.6669,0.6419
132955,xgb,0.6968,0.6077,0.6716,0.6716,0.6492
132955,rf,0.6968,0.6075,0.6716,0.6716,0.6491
149238,xgb,0.694,0.5971,0.6669,0.6669,0.6419
149238,rf,0.6933,0.5946,0.6657,0.6657,0.6401
159751,xgb,0.706,0.6085,0.6775,0.6775,0.6536
159751,rf,0.7053,0.6065,0.6766,0.6766,0.6522
177082,xgb,0.694,0.6023,0.6684,0.6684,0.6449
177082,rf,0.6937,0.601,0.6678,0.6678,0.644
191568,xgb,0.7018,0.6005,0.6727,0.6727,0.6472
191568,rf,0.7016,0.599,0.6721,0.6721,0.6462
195168,xgb,0.7263,0.6243,0.6945,0.6945,0.6715
195168,rf,0.7261,0.6227,0.6939,0.6939,0.6704
218146,xgb,0.6919,0.5982,0.666,0.666,0.6417
218146,rf,0.6913,0.5974,0.6653,0.6653,0.641
218206,xgb,0.6986,0.6102,0.6735,0.6735,0.6514
218206,rf,0.6985,0.6098,0.6732,0.6732,0.6511
237038,xgb,0.7135,0.6189,0.6852,0.6852,0.6629
237038,rf,0.7146,0.6198,0.6862,0.6862,0.6639
256725,xgb,0.715,0.6179,0.6858,0.6858,0.6629
256725,rf,0.715,0.6183,0.6859,0.6859,0.6631
270106,xgb,0.6966,0.6081,0.6716,0.6716,0.6493
270106,rf,0.6951,0.6053,0.6699,0.6699,0.6471
283382,xgb,0.6995,0.6105,0.6741,0.6741,0.6519
283382,rf,0.6992,0.6086,0.6734,0.6734,0.6507
278170,xgb,0.7024,0.6232,0.6796,0.6796,0.6605
278170,rf,0.7023,0.6225,0.6793,0.6793,0.66
