size,model,precision,recall,roc_auc,accuracy,f1_score
13170,xgb,0.4382,0.1178,0.4826,0.4809,0.1857
13170,rf,0.3869,0.0896,0.4731,0.4713,0.1455
40334,xgb,0.4159,0.0956,0.48,0.4781,0.1555
40334,rf,0.3816,0.0833,0.4735,0.4716,0.1368
66892,xgb,0.4661,0.1207,0.4905,0.4886,0.1917
66892,rf,0.4081,0.0987,0.477,0.4751,0.1589
94121,xgb,0.4983,0.1274,0.499,0.4973,0.2029
94121,rf,0.4304,0.0987,0.4835,0.4817,0.1606
120739,xgb,0.4688,0.1137,0.4919,0.4902,0.1831
120739,rf,0.436,0.1048,0.484,0.4824,0.1689
147139,xgb,0.462,0.1124,0.4902,0.4885,0.1808
147139,rf,0.425,0.0976,0.4822,0.4805,0.1587
173087,xgb,0.4871,0.1212,0.4962,0.4945,0.1941
173087,rf,0.4582,0.1113,0.4893,0.4875,0.1791
199858,xgb,0.4765,0.119,0.4936,0.492,0.1905
199858,rf,0.4495,0.1082,0.4873,0.4857,0.1744
226659,xgb,0.4864,0.1196,0.4961,0.4946,0.192
226659,rf,0.4595,0.1118,0.4896,0.4881,0.1798
253429,xgb,0.4851,0.1272,0.4956,0.4942,0.2015
253429,rf,0.467,0.1149,0.4914,0.49,0.1844
280523,xgb,0.4957,0.1327,0.4983,0.4969,0.2094
280523,rf,0.4748,0.1213,0.493,0.4915,0.1932
306569,xgb,0.4989,0.1352,0.4992,0.4977,0.2127
306569,rf,0.4834,0.1243,0.4952,0.4937,0.1978
333766,xgb,0.5075,0.1393,0.5015,0.5001,0.2186
333766,rf,0.4818,0.1233,0.4948,0.4933,0.1963
360426,xgb,0.5072,0.1406,0.5015,0.5,0.2202
360426,rf,0.4945,0.1312,0.498,0.4965,0.2074
386523,xgb,0.5172,0.1433,0.5042,0.5028,0.2244
386523,rf,0.4989,0.1339,0.4992,0.4978,0.2112
414111,xgb,0.5162,0.148,0.5041,0.5025,0.2301
414111,rf,0.4988,0.1324,0.4991,0.4975,0.2093
441036,xgb,0.5104,0.1403,0.5023,0.5009,0.2201
441036,rf,0.5013,0.1384,0.4998,0.4984,0.2169
467829,xgb,0.5198,0.149,0.5051,0.5036,0.2316
467829,rf,0.5143,0.1419,0.5034,0.5019,0.2224
