size,model,precision,recall,roc_auc,accuracy,f1_score
50000,xgb,0.7255,0.6607,0.7054,0.7054,0.6916
50000,rf,0.6837,0.5982,0.6607,0.6607,0.6381
74998,xgb,0.6655,0.6316,0.6571,0.6571,0.6481
74998,rf,0.6854,0.6234,0.6686,0.6686,0.6529
99996,xgb,0.6605,0.6393,0.6553,0.6553,0.6497
99996,rf,0.6352,0.5932,0.6263,0.6263,0.6135
124997,xgb,0.6617,0.638,0.6559,0.6559,0.6496
124997,rf,0.6778,0.599,0.6571,0.6571,0.636
149999,xgb,0.664,0.6357,0.657,0.657,0.6496
149999,rf,0.6772,0.6048,0.6583,0.6583,0.639
175000,xgb,0.6757,0.6316,0.6642,0.6642,0.6529
175000,rf,0.6845,0.6057,0.6633,0.6633,0.6427
199998,xgb,0.672,0.5961,0.6526,0.6526,0.6318
199998,rf,0.6769,0.583,0.6523,0.6523,0.6264
224997,xgb,0.6985,0.6559,0.6864,0.6864,0.6765
224997,rf,0.7075,0.6147,0.6803,0.6803,0.6578
249997,xgb,0.6761,0.6082,0.6584,0.6584,0.6404
249997,rf,0.6913,0.5627,0.6557,0.6557,0.6204
274998,xgb,0.7012,0.6205,0.678,0.678,0.6584
274998,rf,0.7084,0.5874,0.6728,0.6728,0.6423
299998,xgb,0.6948,0.5944,0.6666,0.6666,0.6407
299998,rf,0.7008,0.5555,0.6592,0.6592,0.6197
325000,xgb,0.6825,0.5816,0.6555,0.6555,0.628
325000,rf,0.7068,0.5502,0.661,0.661,0.6187
349999,xgb,0.6913,0.5911,0.6636,0.6636,0.6373
349999,rf,0.7061,0.5633,0.6644,0.6644,0.6267
374999,xgb,0.6966,0.589,0.6662,0.6662,0.6383
374999,rf,0.728,0.5666,0.6775,0.6775,0.6373
399997,xgb,0.7024,0.6151,0.6772,0.6772,0.6559
399997,rf,0.7237,0.5612,0.6735,0.6735,0.6322
424999,xgb,0.6994,0.5742,0.6637,0.6637,0.6306
424999,rf,0.717,0.5305,0.6606,0.6606,0.6098
450000,xgb,0.7051,0.559,0.6626,0.6626,0.6236
450000,rf,0.7324,0.5404,0.6715,0.6715,0.6219
475000,xgb,0.7057,0.5712,0.6665,0.6665,0.6314
475000,rf,0.7367,0.5221,0.6677,0.6677,0.6111
499998,xgb,0.7184,0.5817,0.6768,0.6768,0.6428
499998,rf,0.7395,0.5354,0.6734,0.6734,0.6211
