size,model,precision,recall,roc_auc,accuracy,f1_score
99999,xgb,0.678,0.8356,0.7194,0.7194,0.7486
99999,rf,0.6692,0.7911,0.7,0.7,0.725
149999,xgb,0.6657,0.7424,0.6847,0.6847,0.7019
149999,rf,0.6736,0.7354,0.6895,0.6895,0.7031
200000,xgb,0.6933,0.7778,0.7168,0.7168,0.7331
200000,rf,0.6901,0.7437,0.7049,0.7049,0.7159
249999,xgb,0.6752,0.7236,0.6877,0.6877,0.6985
249999,rf,0.6733,0.7035,0.6811,0.6811,0.6881
299997,xgb,0.6882,0.7478,0.7045,0.7045,0.7168
299997,rf,0.6951,0.7256,0.7037,0.7037,0.71
349999,xgb,0.6782,0.6943,0.6825,0.6825,0.6862
349999,rf,0.6811,0.6643,0.6766,0.6766,0.6726
399998,xgb,0.6957,0.7359,0.707,0.707,0.7153
399998,rf,0.701,0.6762,0.6939,0.6939,0.6884
449996,xgb,0.6854,0.6741,0.6823,0.6823,0.6797
449996,rf,0.7024,0.6641,0.6914,0.6914,0.6827
500000,xgb,0.682,0.6464,0.6725,0.6725,0.6637
500000,rf,0.6997,0.6698,0.6911,0.6911,0.6844
549999,xgb,0.6934,0.677,0.6888,0.6888,0.6851
549999,rf,0.6985,0.6272,0.6782,0.6782,0.6609
600000,xgb,0.6961,0.6783,0.6911,0.6911,0.6871
600000,rf,0.6995,0.6359,0.6813,0.6813,0.6662
650000,xgb,0.702,0.6685,0.6924,0.6924,0.6849
650000,rf,0.7032,0.6202,0.6792,0.6792,0.6591
700000,xgb,0.6889,0.6199,0.67,0.67,0.6526
700000,rf,0.7142,0.6299,0.6889,0.6889,0.6694
749999,xgb,0.7138,0.6848,0.7051,0.7051,0.699
749999,rf,0.7264,0.6481,0.702,0.702,0.6851
799997,xgb,0.726,0.6814,0.7121,0.7121,0.703
799997,rf,0.7415,0.6486,0.7113,0.7113,0.692
849999,xgb,0.7311,0.6867,0.7171,0.7171,0.7082
849999,rf,0.7477,0.6601,0.7187,0.7187,0.7012
900000,xgb,0.73,0.6906,0.7176,0.7176,0.7098
900000,rf,0.75,0.6664,0.7222,0.7222,0.7058
950000,xgb,0.7293,0.6848,0.7153,0.7153,0.7064
950000,rf,0.7559,0.6497,0.72,0.72,0.6988
