size,model,precision,recall,roc_auc,accuracy,f1_score
5634,xgb,0.9652,0.7351,0.8543,0.8543,0.8346
5634,rf,0.9655,0.7417,0.8576,0.8576,0.839
10042,xgb,0.958,0.892,0.9264,0.9264,0.9238
10042,rf,0.9646,0.8119,0.8911,0.8911,0.8817
13683,xgb,0.9659,0.7727,0.8727,0.8727,0.8586
13683,rf,0.9622,0.7597,0.8649,0.8649,0.8491
17412,xgb,0.9675,0.758,0.8662,0.8662,0.85
17412,rf,0.9659,0.7516,0.8625,0.8625,0.8454
22645,xgb,0.9442,0.7372,0.8468,0.8468,0.828
22645,rf,0.9409,0.7173,0.8361,0.8361,0.814
28249,xgb,0.9425,0.7261,0.8409,0.8409,0.8203
28249,rf,0.9379,0.7137,0.8332,0.8332,0.8106
34321,xgb,0.9325,0.7361,0.8414,0.8414,0.8227
34321,rf,0.9426,0.7261,0.8409,0.8409,0.8203
40573,xgb,0.9344,0.7201,0.8348,0.8348,0.8134
40573,rf,0.9374,0.7158,0.834,0.834,0.8117
47468,xgb,0.9272,0.7192,0.8314,0.8313,0.8101
47468,rf,0.9275,0.7131,0.8286,0.8286,0.8063
54604,xgb,0.9132,0.7142,0.8231,0.8231,0.8015
54604,rf,0.9133,0.7007,0.8171,0.8171,0.793
62147,xgb,0.9243,0.7027,0.8226,0.8226,0.7984
62147,rf,0.9226,0.6945,0.8181,0.8181,0.7924
69991,xgb,0.9128,0.6996,0.8164,0.8164,0.7921
69991,rf,0.9109,0.6792,0.8064,0.8064,0.7782
78222,xgb,0.9048,0.6978,0.8122,0.8122,0.7879
78222,rf,0.903,0.6837,0.8051,0.8051,0.7782
87560,xgb,0.906,0.691,0.8096,0.8096,0.784
87560,rf,0.8949,0.6836,0.8017,0.8017,0.7751
96863,xgb,0.9077,0.6887,0.8093,0.8093,0.7832
96863,rf,0.9063,0.6799,0.8048,0.8048,0.7769
