size,model,precision,recall,roc_auc,accuracy,f1_score
37437,xgb,0.4634,0.1145,0.4906,0.4894,0.1836
37437,rf,0.4634,0.1145,0.4906,0.4894,0.1836
74879,xgb,0.6757,0.1059,0.5275,0.5275,0.1832
74879,rf,0.6757,0.1059,0.5275,0.5275,0.1832
112325,xgb,0.425,0.0697,0.4877,0.4877,0.1197
112325,rf,0.425,0.0697,0.4877,0.4877,0.1197
149761,xgb,0.0909,0.0106,0.4525,0.4523,0.0189
149761,rf,0.0909,0.0106,0.4525,0.4523,0.0189
187218,xgb,0.173,0.0223,0.4577,0.4574,0.0395
187218,rf,0.173,0.0223,0.4577,0.4574,0.0395
224675,xgb,0.0263,0.0025,0.4541,0.4538,0.0046
224675,rf,0.0263,0.0025,0.4541,0.4538,0.0046
262114,xgb,0.0506,0.0047,0.4585,0.4583,0.0086
262114,rf,0.0506,0.0047,0.4585,0.4583,0.0086
299566,xgb,0.1634,0.0166,0.4658,0.4657,0.0301
299566,rf,0.1634,0.0166,0.4658,0.4657,0.0301
336994,xgb,0.046,0.0039,0.4612,0.4609,0.0072
336994,rf,0.046,0.0039,0.4612,0.4609,0.0072
