size,model,precision,recall,roc_auc,accuracy,f1_score
37438,xgb,0.5333,0.1446,0.509,0.509,0.2275
37438,rf,0.5333,0.1446,0.509,0.509,0.2275
74873,xgb,0.7051,0.2331,0.5678,0.5678,0.3503
74873,rf,0.7051,0.2331,0.5678,0.5678,0.3503
112321,xgb,0.7907,0.2787,0.6025,0.6025,0.4121
112321,rf,0.7907,0.2787,0.6025,0.6025,0.4121
149771,xgb,0.1013,0.0099,0.4608,0.4606,0.0181
149771,rf,0.1013,0.0099,0.4608,0.4606,0.0181
187218,xgb,0.2153,0.0216,0.4714,0.4714,0.0393
187218,rf,0.2153,0.0216,0.4714,0.4714,0.0393
224673,xgb,0.0487,0.0035,0.4673,0.4672,0.0066
224673,rf,0.0487,0.0035,0.4673,0.4672,0.0066
262120,xgb,0.0878,0.0068,0.4681,0.4679,0.0126
262120,rf,0.0878,0.0068,0.4681,0.4679,0.0126
299560,xgb,0.2205,0.0201,0.4744,0.4743,0.0369
299560,rf,0.2205,0.0201,0.4744,0.4743,0.0369
337016,xgb,0.1373,0.01,0.4735,0.473,0.0187
337016,rf,0.1373,0.01,0.4735,0.473,0.0187
