size,model,precision,recall,roc_auc,accuracy,f1_score
37438,xgb,0.4355,0.1627,0.4759,0.4759,0.2368
37438,rf,0.4355,0.1627,0.4759,0.4759,0.2368
74873,xgb,0.6875,0.2331,0.5636,0.5636,0.3481
74873,rf,0.6875,0.2331,0.5636,0.5636,0.3481
112321,xgb,0.8073,0.3607,0.6373,0.6373,0.4986
112321,rf,0.8073,0.3607,0.6373,0.6373,0.4986
149771,xgb,0.1429,0.0137,0.4658,0.4655,0.0249
149771,rf,0.1429,0.0137,0.4658,0.4655,0.0249
187218,xgb,0.281,0.03,0.4766,0.4766,0.0542
187218,rf,0.281,0.03,0.4766,0.4766,0.0542
224673,xgb,0.0539,0.004,0.4665,0.4664,0.0075
224673,rf,0.0539,0.004,0.4665,0.4664,0.0075
262120,xgb,0.0884,0.0072,0.4662,0.466,0.0134
262120,rf,0.0884,0.0072,0.4662,0.466,0.0134
299560,xgb,0.212,0.0191,0.474,0.4739,0.035
299560,rf,0.212,0.0191,0.474,0.4739,0.035
337016,xgb,0.089,0.0075,0.4652,0.4648,0.0138
337016,rf,0.089,0.0075,0.4652,0.4648,0.0138
