size,model,precision,recall,roc_auc,accuracy,f1_score
14420,xgb,0.8106,0.6261,0.7399,0.7399,0.7065
14420,rf,0.7934,0.6081,0.7249,0.7249,0.6885
27689,xgb,0.8008,0.6183,0.7322,0.7322,0.6978
27689,rf,0.8101,0.5801,0.7221,0.722,0.6761
40863,xgb,0.8341,0.6404,0.7565,0.7565,0.7245
40863,rf,0.8344,0.5952,0.7386,0.7385,0.6948
54353,xgb,0.8266,0.645,0.7549,0.7549,0.7246
54353,rf,0.8232,0.5865,0.7303,0.7303,0.685
68040,xgb,0.8117,0.5654,0.7171,0.7171,0.6665
68040,rf,0.8219,0.5397,0.7114,0.7114,0.6516
82324,xgb,0.8201,0.5884,0.7297,0.7297,0.6852
82324,rf,0.8427,0.56,0.7277,0.7277,0.6728
94816,xgb,0.8215,0.5942,0.7325,0.7325,0.6896
94816,rf,0.8436,0.5547,0.7259,0.7259,0.6693
109504,xgb,0.8265,0.5799,0.7291,0.7291,0.6815
109504,rf,0.8269,0.5232,0.7069,0.7069,0.6409
123033,xgb,0.8235,0.5819,0.7286,0.7286,0.682
123033,rf,0.8223,0.5501,0.7156,0.7156,0.6592
132955,xgb,0.8327,0.5855,0.7339,0.7339,0.6876
132955,rf,0.8439,0.5505,0.7244,0.7244,0.6664
149238,xgb,0.8189,0.5751,0.724,0.724,0.6757
149238,rf,0.831,0.535,0.7131,0.7131,0.6509
159751,xgb,0.8242,0.5902,0.7321,0.7321,0.6878
159751,rf,0.8198,0.5643,0.7201,0.7201,0.6685
177082,xgb,0.8282,0.5666,0.7245,0.7245,0.6729
177082,rf,0.8359,0.526,0.7114,0.7114,0.6457
191568,xgb,0.8208,0.5695,0.7226,0.7226,0.6724
191568,rf,0.8352,0.5455,0.7189,0.7189,0.6599
195168,xgb,0.8459,0.6772,0.7769,0.7769,0.7522
195168,rf,0.8361,0.6708,0.7697,0.7697,0.7444
218146,xgb,0.8234,0.5723,0.7248,0.7248,0.6753
218146,rf,0.8484,0.5173,0.7124,0.7124,0.6427
218206,xgb,0.8261,0.5708,0.7254,0.7254,0.6752
218206,rf,0.8376,0.5228,0.7107,0.7107,0.6438
237038,xgb,0.8318,0.6295,0.7511,0.7511,0.7166
237038,rf,0.8255,0.6123,0.7414,0.7414,0.7031
256725,xgb,0.8396,0.6351,0.7569,0.7569,0.7232
256725,rf,0.8362,0.6137,0.7467,0.7467,0.7079
270106,xgb,0.827,0.5764,0.7279,0.7279,0.6794
270106,rf,0.8343,0.5211,0.7088,0.7088,0.6415
283382,xgb,0.8228,0.5671,0.7225,0.7225,0.6714
283382,rf,0.8466,0.5257,0.7152,0.7152,0.6487
278170,xgb,0.8247,0.5381,0.7119,0.7119,0.6513
278170,rf,0.8348,0.505,0.7025,0.7025,0.6293
