size,model,precision,recall,roc_auc,accuracy,f1_score
14420,xgb,0.7537,0.4901,0.665,0.665,0.5939
14420,rf,0.7861,0.5045,0.6836,0.6836,0.6146
27689,xgb,0.8044,0.5958,0.7254,0.7254,0.6846
27689,rf,0.7934,0.5669,0.7096,0.7096,0.6613
40863,xgb,0.8044,0.5572,0.7109,0.7108,0.6584
40863,rf,0.8119,0.5345,0.7053,0.7053,0.6446
54353,xgb,0.8157,0.5767,0.7232,0.7232,0.6757
54353,rf,0.8223,0.5666,0.7221,0.7221,0.6709
68040,xgb,0.7943,0.5216,0.6932,0.6932,0.6297
68040,rf,0.8046,0.5216,0.6975,0.6975,0.6329
82324,xgb,0.8054,0.554,0.7101,0.7101,0.6565
82324,rf,0.8194,0.5221,0.7035,0.7035,0.6378
94816,xgb,0.8088,0.5453,0.7082,0.7082,0.6514
94816,rf,0.8204,0.5283,0.7063,0.7063,0.6427
109504,xgb,0.8161,0.5796,0.7245,0.7245,0.6778
109504,rf,0.8339,0.56,0.7242,0.7242,0.6701
123033,xgb,0.7993,0.54,0.7022,0.7022,0.6445
123033,rf,0.8247,0.5309,0.709,0.709,0.6459
132955,xgb,0.8041,0.5677,0.7147,0.7147,0.6656
132955,rf,0.8346,0.5512,0.721,0.721,0.6639
149238,xgb,0.8088,0.5757,0.7198,0.7198,0.6726
149238,rf,0.8344,0.5607,0.7247,0.7247,0.6707
159751,xgb,0.8335,0.6,0.7401,0.7401,0.6978
159751,rf,0.8621,0.5909,0.7482,0.7482,0.7012
177082,xgb,0.8086,0.5567,0.7125,0.7125,0.6594
177082,rf,0.8366,0.5241,0.7108,0.7108,0.6444
191568,xgb,0.8263,0.5711,0.7255,0.7255,0.6754
191568,rf,0.8474,0.5522,0.7264,0.7264,0.6686
195168,xgb,0.8714,0.6595,0.7811,0.781,0.7508
195168,rf,0.8763,0.6458,0.7773,0.7773,0.7436
218146,xgb,0.8115,0.5542,0.7127,0.7127,0.6586
218146,rf,0.8379,0.5317,0.7144,0.7144,0.6505
218206,xgb,0.8307,0.5914,0.7354,0.7354,0.6909
218206,rf,0.8558,0.5711,0.7374,0.7374,0.685
237038,xgb,0.8631,0.6217,0.7616,0.7616,0.7228
237038,rf,0.8896,0.6125,0.7682,0.7682,0.7255
256725,xgb,0.8604,0.6371,0.7669,0.7669,0.7321
256725,rf,0.8815,0.6327,0.7738,0.7738,0.7367
270106,xgb,0.8165,0.5561,0.7156,0.7156,0.6616
270106,rf,0.8448,0.5417,0.7211,0.7211,0.6601
283382,xgb,0.8157,0.5659,0.719,0.719,0.6682
283382,rf,0.8445,0.5265,0.7148,0.7148,0.6486
278170,xgb,0.826,0.5921,0.7337,0.7337,0.6898
278170,rf,0.852,0.5608,0.7317,0.7317,0.6764
