size,model,precision,recall,roc_auc,accuracy,f1_score
13170,xgb,0.6275,0.3828,0.5767,0.5758,0.4755
13170,rf,0.6011,0.3602,0.5594,0.5585,0.4505
40334,xgb,0.6415,0.3769,0.5821,0.5811,0.4749
40334,rf,0.6314,0.3972,0.5815,0.5806,0.4876
66892,xgb,0.6279,0.3625,0.5727,0.5717,0.4596
66892,rf,0.6163,0.3919,0.5727,0.5718,0.4791
94121,xgb,0.6277,0.3482,0.5699,0.5689,0.4479
94121,rf,0.6148,0.3819,0.5702,0.5694,0.4712
120739,xgb,0.6222,0.3456,0.567,0.566,0.4444
120739,rf,0.611,0.3733,0.5668,0.566,0.4635
147139,xgb,0.6045,0.3214,0.5546,0.5536,0.4196
147139,rf,0.5977,0.3775,0.5606,0.5598,0.4627
173087,xgb,0.5988,0.3169,0.5513,0.5502,0.4144
173087,rf,0.5827,0.359,0.5498,0.5489,0.4443
199858,xgb,0.609,0.3427,0.5604,0.5595,0.4386
199858,rf,0.6036,0.3997,0.5675,0.5667,0.4809
226659,xgb,0.5932,0.3343,0.5516,0.5507,0.4276
226659,rf,0.584,0.3744,0.5528,0.552,0.4563
253429,xgb,0.5996,0.3675,0.5601,0.5594,0.4557
253429,rf,0.5854,0.3921,0.5562,0.5556,0.4697
280523,xgb,0.5921,0.3423,0.5523,0.5515,0.4338
280523,rf,0.5871,0.3902,0.5568,0.5561,0.4688
306569,xgb,0.5879,0.3235,0.5475,0.5466,0.4173
306569,rf,0.5859,0.3894,0.556,0.5553,0.4678
333766,xgb,0.6042,0.3579,0.5608,0.56,0.4495
333766,rf,0.5879,0.4021,0.559,0.5584,0.4776
360426,xgb,0.6007,0.3635,0.56,0.5592,0.4529
360426,rf,0.5876,0.4019,0.5588,0.5581,0.4773
386523,xgb,0.6035,0.353,0.5596,0.5588,0.4454
386523,rf,0.585,0.3977,0.5567,0.556,0.4735
414111,xgb,0.5891,0.3652,0.5541,0.5533,0.4509
414111,rf,0.585,0.4089,0.5582,0.5575,0.4813
441036,xgb,0.5887,0.3484,0.5516,0.5508,0.4377
441036,rf,0.5875,0.395,0.5577,0.5571,0.4724
467829,xgb,0.5893,0.3455,0.5514,0.5505,0.4356
467829,rf,0.5874,0.4072,0.5594,0.5588,0.481
