size,model,precision,recall,roc_auc,accuracy,f1_score
13170,xgb,0.66,0.9707,0.7329,0.7341,0.7858
13170,rf,0.656,0.9363,0.7203,0.7213,0.7715
40334,xgb,0.667,0.9662,0.7395,0.7406,0.7892
40334,rf,0.6651,0.9436,0.7318,0.7329,0.7802
66892,xgb,0.6618,0.9391,0.7272,0.7283,0.7765
66892,rf,0.6605,0.9186,0.7208,0.7218,0.7685
94121,xgb,0.6647,0.9553,0.7346,0.7355,0.7839
94121,rf,0.6618,0.9247,0.7239,0.7248,0.7715
120739,xgb,0.6601,0.9257,0.7225,0.7234,0.7707
120739,rf,0.659,0.9127,0.7182,0.719,0.7654
147139,xgb,0.6588,0.9293,0.7219,0.7228,0.771
147139,rf,0.6572,0.9189,0.7177,0.7185,0.7663
173087,xgb,0.6596,0.9182,0.72,0.7209,0.7677
173087,rf,0.659,0.9116,0.7178,0.7186,0.765
199858,xgb,0.6573,0.9091,0.7156,0.7164,0.763
199858,rf,0.6565,0.9044,0.7136,0.7144,0.7608
226659,xgb,0.6563,0.8956,0.7113,0.7121,0.7575
226659,rf,0.6558,0.8928,0.7102,0.711,0.7562
253429,xgb,0.6547,0.8844,0.7073,0.7079,0.7524
253429,rf,0.6565,0.901,0.713,0.7137,0.7596
280523,xgb,0.6553,0.9002,0.7114,0.7122,0.7585
280523,rf,0.6543,0.8944,0.7091,0.7098,0.7558
306569,xgb,0.6544,0.894,0.709,0.7097,0.7556
306569,rf,0.6537,0.8907,0.7075,0.7082,0.754
333766,xgb,0.6523,0.8848,0.7047,0.7054,0.751
333766,rf,0.6519,0.8803,0.7033,0.704,0.7491
360426,xgb,0.6534,0.8813,0.705,0.7057,0.7504
360426,rf,0.6526,0.8749,0.7027,0.7034,0.7476
386523,xgb,0.6511,0.878,0.7019,0.7026,0.7477
386523,rf,0.6513,0.8765,0.7018,0.7024,0.7473
414111,xgb,0.6513,0.8736,0.7009,0.7016,0.7462
414111,rf,0.6505,0.865,0.6981,0.6988,0.7426
441036,xgb,0.65,0.8617,0.6971,0.6977,0.741
441036,rf,0.6501,0.8626,0.6974,0.698,0.7414
467829,xgb,0.6509,0.8728,0.7004,0.7011,0.7457
467829,rf,0.6501,0.8694,0.6988,0.6995,0.7439
