size,model,precision,recall,roc_auc,accuracy,f1_score
11056,xgb,0.7296,0.7115,0.7239,0.7239,0.7204
11056,rf,0.7121,0.6456,0.6923,0.6923,0.6772
33753,xgb,0.7971,0.7473,0.7785,0.7785,0.7714
33753,rf,0.7901,0.692,0.7541,0.7541,0.7378
56594,xgb,0.7761,0.7108,0.7529,0.7529,0.742
56594,rf,0.7727,0.6951,0.7453,0.7453,0.7318
78473,xgb,0.7974,0.7608,0.7837,0.7837,0.7787
78473,rf,0.7959,0.7372,0.7741,0.7741,0.7654
102443,xgb,0.7932,0.7786,0.7878,0.7878,0.7858
102443,rf,0.7842,0.7145,0.7589,0.7589,0.7477
124676,xgb,0.7739,0.7652,0.7708,0.7708,0.7695
124676,rf,0.7702,0.7119,0.7498,0.7498,0.7399
146970,xgb,0.7849,0.7974,0.7894,0.7894,0.7911
146970,rf,0.7661,0.7366,0.7558,0.7558,0.7511
168600,xgb,0.7962,0.7842,0.7918,0.7918,0.7902
168600,rf,0.7827,0.7515,0.7714,0.7714,0.7668
191644,xgb,0.788,0.7494,0.7739,0.7739,0.7682
191644,rf,0.7804,0.7339,0.7637,0.7637,0.7564
213747,xgb,0.7872,0.7348,0.7681,0.7681,0.7601
213747,rf,0.7667,0.7178,0.7497,0.7497,0.7415
236280,xgb,0.7833,0.7663,0.7771,0.7771,0.7747
236280,rf,0.7718,0.7365,0.7594,0.7594,0.7538
259222,xgb,0.7922,0.7735,0.7853,0.7853,0.7827
259222,rf,0.7855,0.7546,0.7743,0.7743,0.7698
282458,xgb,0.7968,0.7866,0.793,0.793,0.7916
282458,rf,0.7754,0.7642,0.7714,0.7714,0.7697
305112,xgb,0.7879,0.7735,0.7826,0.7826,0.7806
305112,rf,0.7699,0.7648,0.7681,0.7681,0.7673
327972,xgb,0.7936,0.7953,0.7942,0.7942,0.7945
327972,rf,0.7758,0.768,0.773,0.773,0.7719
350457,xgb,0.7783,0.7622,0.7726,0.7726,0.7702
350457,rf,0.7644,0.7556,0.7614,0.7614,0.76
371907,xgb,0.7898,0.793,0.791,0.791,0.7914
371907,rf,0.774,0.7459,0.764,0.764,0.7596
395356,xgb,0.7858,0.7846,0.7854,0.7854,0.7852
395356,rf,0.7702,0.7664,0.7689,0.7689,0.7683
416755,xgb,0.7854,0.7877,0.7862,0.7862,0.7866
416755,rf,0.775,0.771,0.7736,0.7736,0.773
440638,xgb,0.7736,0.7481,0.7646,0.7646,0.7607
440638,rf,0.7665,0.7487,0.7603,0.7603,0.7575
