size,model,precision,recall,roc_auc,accuracy,f1_score
11677,xgb,0.7849,0.7636,0.7772,0.7772,0.7741
11677,rf,0.7737,0.6875,0.7432,0.7432,0.7281
69533,xgb,0.7921,0.7669,0.7828,0.7828,0.7793
69533,rf,0.7814,0.7024,0.7529,0.7529,0.7398
126106,xgb,0.7796,0.778,0.779,0.779,0.7788
126106,rf,0.7714,0.7161,0.7519,0.7519,0.7427
181577,xgb,0.7939,0.7865,0.7912,0.7912,0.7902
181577,rf,0.7733,0.7402,0.7616,0.7616,0.7564
240445,xgb,0.7814,0.7561,0.7723,0.7723,0.7685
240445,rf,0.7703,0.7259,0.7547,0.7547,0.7474
299019,xgb,0.7888,0.7524,0.7755,0.7755,0.7702
299019,rf,0.7774,0.7405,0.7642,0.7642,0.7585
355184,xgb,0.7871,0.7728,0.7819,0.7819,0.7799
355184,rf,0.7705,0.7542,0.7648,0.7648,0.7623
411182,xgb,0.7891,0.7765,0.7845,0.7845,0.7828
411182,rf,0.7753,0.7535,0.7675,0.7675,0.7642
469649,xgb,0.7701,0.7022,0.7462,0.7462,0.7345
469649,rf,0.76,0.7228,0.7473,0.7473,0.7409
527237,xgb,0.7959,0.7614,0.7831,0.7831,0.7783
527237,rf,0.7746,0.7543,0.7674,0.7674,0.7643
586010,xgb,0.7884,0.7716,0.7823,0.7823,0.7799
586010,rf,0.767,0.7648,0.7663,0.7663,0.7659
641316,xgb,0.7816,0.7499,0.7702,0.7702,0.7654
641316,rf,0.7678,0.7576,0.7643,0.7643,0.7627
696396,xgb,0.7792,0.7548,0.7705,0.7705,0.7668
696396,rf,0.7643,0.7471,0.7583,0.7583,0.7556
756126,xgb,0.776,0.7558,0.7688,0.7688,0.7658
756126,rf,0.7575,0.7386,0.751,0.751,0.7479
