size,model,precision,recall,roc_auc,accuracy,f1_score
11056,xgb,0.8013,0.9973,0.875,0.875,0.8886
11056,rf,0.8,0.989,0.8709,0.8709,0.8845
33753,xgb,0.794,0.9882,0.8659,0.8659,0.8805
33753,rf,0.794,0.9882,0.8659,0.8659,0.8805
56594,xgb,0.8145,0.9901,0.8823,0.8823,0.8938
56594,rf,0.8145,0.9901,0.8823,0.8823,0.8938
78473,xgb,0.8089,0.9864,0.8767,0.8767,0.8889
78473,rf,0.8077,0.9789,0.8729,0.8729,0.8851
102443,xgb,0.8013,0.9818,0.8692,0.8692,0.8825
102443,rf,0.8009,0.9788,0.8677,0.8677,0.8809
124676,xgb,0.7988,0.9751,0.8647,0.8647,0.8782
124676,rf,0.7989,0.9748,0.8647,0.8647,0.8781
146970,xgb,0.7965,0.9779,0.8641,0.8641,0.878
146970,rf,0.7963,0.9757,0.863,0.863,0.8769
168600,xgb,0.8068,0.9733,0.8701,0.8701,0.8823
168600,rf,0.8068,0.9733,0.8701,0.8701,0.8823
191644,xgb,0.8042,0.9732,0.8682,0.8682,0.8807
191644,rf,0.8043,0.9728,0.868,0.868,0.8805
213747,xgb,0.8069,0.9695,0.8687,0.8687,0.8807
213747,rf,0.8069,0.9695,0.8687,0.8687,0.8807
236280,xgb,0.8029,0.9649,0.864,0.864,0.8765
236280,rf,0.8028,0.9639,0.8636,0.8636,0.876
259222,xgb,0.798,0.9549,0.8566,0.8566,0.8695
259222,rf,0.798,0.9545,0.8565,0.8565,0.8693
282458,xgb,0.7968,0.9535,0.8552,0.8552,0.8681
282458,rf,0.797,0.9535,0.8553,0.8553,0.8683
305112,xgb,0.8013,0.9545,0.8589,0.8589,0.8712
305112,rf,0.8013,0.9544,0.8589,0.8589,0.8712
327972,xgb,0.8002,0.9476,0.8555,0.8555,0.8677
327972,rf,0.8003,0.9456,0.8548,0.8548,0.8669
350457,xgb,0.8014,0.9417,0.8542,0.8542,0.8659
350457,rf,0.8015,0.9416,0.8542,0.8542,0.8659
371907,xgb,0.7998,0.9439,0.8538,0.8538,0.8659
371907,rf,0.8,0.9437,0.8538,0.8538,0.8659
395356,xgb,0.7987,0.9411,0.8519,0.8519,0.864
395356,rf,0.7985,0.94,0.8514,0.8514,0.8635
416755,xgb,0.7947,0.9379,0.8478,0.8478,0.8604
416755,rf,0.7945,0.9374,0.8475,0.8475,0.8601
440638,xgb,0.7999,0.9347,0.8504,0.8504,0.8621
440638,rf,0.7995,0.9338,0.8498,0.8498,0.8615
