size,model,precision,recall,roc_auc,accuracy,f1_score
11677,xgb,0.8153,0.9837,0.8804,0.8804,0.8916
11677,rf,0.8153,0.9837,0.8804,0.8804,0.8916
69533,xgb,0.8072,0.9908,0.8771,0.8771,0.8897
69533,rf,0.8071,0.99,0.8767,0.8767,0.8892
126106,xgb,0.8049,0.9812,0.8717,0.8717,0.8843
126106,rf,0.8052,0.9812,0.8719,0.8719,0.8845
181577,xgb,0.8067,0.9713,0.8693,0.8693,0.8814
181577,rf,0.8069,0.9713,0.8694,0.8694,0.8815
240445,xgb,0.8092,0.9656,0.869,0.869,0.8805
240445,rf,0.8072,0.9516,0.8622,0.8622,0.8735
299019,xgb,0.8042,0.955,0.8613,0.8613,0.8732
299019,rf,0.8041,0.9543,0.8609,0.8609,0.8728
355184,xgb,0.8027,0.9481,0.8575,0.8575,0.8694
355184,rf,0.8027,0.948,0.8575,0.8575,0.8693
411182,xgb,0.7972,0.9394,0.8502,0.8502,0.8625
411182,rf,0.7968,0.937,0.849,0.849,0.8612
469649,xgb,0.798,0.9312,0.8477,0.8477,0.8595
469649,rf,0.798,0.9313,0.8477,0.8477,0.8595
527237,xgb,0.7942,0.927,0.8434,0.8434,0.8555
527237,rf,0.794,0.9263,0.843,0.843,0.8551
586010,xgb,0.7963,0.9184,0.8418,0.8418,0.853
586010,rf,0.7963,0.9178,0.8415,0.8415,0.8527
641316,xgb,0.796,0.9143,0.84,0.84,0.8511
641316,rf,0.7937,0.9015,0.8336,0.8336,0.8442
696396,xgb,0.7936,0.9077,0.8358,0.8358,0.8468
696396,rf,0.7936,0.9071,0.8356,0.8356,0.8465
756126,xgb,0.7889,0.9049,0.8314,0.8314,0.8429
756126,rf,0.7889,0.9046,0.8313,0.8313,0.8428
812369,xgb,0.7873,0.8981,0.8277,0.8277,0.839
812369,rf,0.7871,0.8969,0.8271,0.8271,0.8384
