size,model,precision,recall,roc_auc,accuracy,f1_score
11056,xgb,0.715,0.7582,0.728,0.728,0.736
11056,rf,0.736,0.7198,0.7308,0.7308,0.7278
33753,xgb,0.7829,0.7808,0.7822,0.7822,0.7819
33753,rf,0.7741,0.8288,0.7935,0.7935,0.8005
56594,xgb,0.7744,0.738,0.7615,0.7615,0.7558
56594,rf,0.7679,0.8065,0.7814,0.7814,0.7867
78473,xgb,0.7967,0.7533,0.7805,0.7805,0.7744
78473,rf,0.7933,0.8067,0.7982,0.7982,0.7999
102443,xgb,0.7996,0.7068,0.7649,0.7649,0.7504
102443,rf,0.8056,0.8056,0.8056,0.8056,0.8056
124676,xgb,0.7762,0.6553,0.7331,0.7331,0.7106
124676,rf,0.7831,0.7876,0.7847,0.7847,0.7853
146970,xgb,0.8244,0.8034,0.8161,0.8161,0.8138
146970,rf,0.8139,0.8466,0.8265,0.8265,0.8299
168600,xgb,0.8202,0.7684,0.8,0.8,0.7935
168600,rf,0.8245,0.8455,0.8327,0.8327,0.8348
191644,xgb,0.8231,0.8025,0.815,0.815,0.8127
191644,rf,0.8298,0.8468,0.8365,0.8365,0.8382
213747,xgb,0.8224,0.8195,0.8213,0.8213,0.8209
213747,rf,0.8218,0.8439,0.8305,0.8305,0.8327
236280,xgb,0.8342,0.8269,0.8313,0.8313,0.8306
236280,rf,0.8327,0.8554,0.8417,0.8417,0.8439
259222,xgb,0.8159,0.8185,0.8169,0.8169,0.8172
259222,rf,0.8165,0.8322,0.8226,0.8226,0.8243
282458,xgb,0.8332,0.8375,0.8349,0.8349,0.8353
282458,rf,0.822,0.8329,0.8263,0.8263,0.8274
305112,xgb,0.8331,0.8319,0.8326,0.8326,0.8325
305112,rf,0.8261,0.8396,0.8314,0.8314,0.8328
327972,xgb,0.8235,0.7937,0.8118,0.8118,0.8083
327972,rf,0.8246,0.8246,0.8246,0.8246,0.8246
350457,xgb,0.8367,0.811,0.8263,0.8263,0.8236
350457,rf,0.8315,0.8225,0.8279,0.8279,0.827
371907,xgb,0.8301,0.7971,0.817,0.817,0.8132
371907,rf,0.8285,0.8212,0.8256,0.8256,0.8248
395356,xgb,0.8378,0.808,0.8258,0.8258,0.8226
395356,rf,0.8325,0.8297,0.8314,0.8314,0.8311
416755,xgb,0.8294,0.7846,0.8116,0.8116,0.8064
416755,rf,0.8308,0.8264,0.829,0.829,0.8286
440638,xgb,0.8255,0.7641,0.8013,0.8013,0.7936
440638,rf,0.835,0.8161,0.8274,0.8274,0.8254
