size,model,precision,recall,roc_auc,accuracy,f1_score
11677,xgb,0.7584,0.8016,0.7731,0.7731,0.7794
11677,rf,0.7562,0.8342,0.7826,0.7826,0.7933
69533,xgb,0.7907,0.7508,0.776,0.776,0.7702
69533,rf,0.782,0.8017,0.7891,0.7891,0.7917
126106,xgb,0.8159,0.785,0.804,0.804,0.8002
126106,rf,0.8094,0.8138,0.8111,0.8111,0.8116
181577,xgb,0.822,0.7897,0.8094,0.8094,0.8055
181577,rf,0.8162,0.8417,0.8261,0.8261,0.8288
240445,xgb,0.8305,0.8177,0.8254,0.8254,0.824
240445,rf,0.825,0.8251,0.825,0.825,0.825
299019,xgb,0.8344,0.8124,0.8256,0.8256,0.8233
299019,rf,0.8267,0.8216,0.8247,0.8247,0.8241
355184,xgb,0.8322,0.7779,0.8105,0.8105,0.8041
355184,rf,0.837,0.8102,0.8262,0.8262,0.8233
411182,xgb,0.8339,0.7841,0.814,0.814,0.8083
411182,rf,0.8331,0.8129,0.825,0.825,0.8229
469649,xgb,0.8407,0.8057,0.8265,0.8265,0.8228
469649,rf,0.8391,0.8096,0.8272,0.8272,0.8241
527237,xgb,0.831,0.7803,0.8108,0.8108,0.8048
527237,rf,0.8351,0.7945,0.8188,0.8188,0.8143
586010,xgb,0.836,0.7758,0.8118,0.8118,0.8048
586010,rf,0.8362,0.7962,0.8201,0.8201,0.8157
641316,xgb,0.8391,0.7715,0.8118,0.8118,0.8039
641316,rf,0.8436,0.7878,0.8209,0.8209,0.8148
696396,xgb,0.8289,0.7625,0.8026,0.8026,0.7943
696396,rf,0.8313,0.7726,0.8079,0.8079,0.8009
756126,xgb,0.8297,0.759,0.8016,0.8016,0.7928
756126,rf,0.834,0.7683,0.8077,0.8077,0.7998
