size,model,precision,recall,roc_auc,accuracy,f1_score
15555,xgb,0.8282,0.9903,0.8924,0.8924,0.902
15555,rf,0.8289,0.9849,0.8908,0.8908,0.9002
95011,xgb,0.8079,0.9884,0.8767,0.8767,0.8891
95011,rf,0.8077,0.9861,0.8756,0.8756,0.888
174526,xgb,0.808,0.979,0.8732,0.8732,0.8853
174526,rf,0.8081,0.979,0.8732,0.8733,0.8854
256208,xgb,0.8096,0.9698,0.8709,0.8709,0.8825
256208,rf,0.8096,0.9695,0.8708,0.8708,0.8824
335332,xgb,0.8083,0.9641,0.8677,0.8677,0.8793
335332,rf,0.808,0.9618,0.8666,0.8666,0.8782
415210,xgb,0.8101,0.9562,0.8661,0.8661,0.8771
415210,rf,0.8101,0.9562,0.866,0.866,0.8771
