size,model,precision,recall,roc_auc,accuracy,f1_score
639208,xgb,0.7828,0.7832,0.783,0.783,0.783
639208,rf,0.7665,0.7649,0.7659,0.7659,0.7657
107011,xgb,0.7947,0.7477,0.7772,0.7772,0.7705
107011,rf,0.7874,0.7082,0.7585,0.7585,0.7457
642501,xgb,0.7955,0.8028,0.7982,0.7982,0.7991
642501,rf,0.7728,0.7805,0.7756,0.7756,0.7767
1174504,xgb,0.779,0.7559,0.7707,0.7707,0.7673
1174504,rf,0.7581,0.7542,0.7568,0.7568,0.7562
1704161,xgb,0.7623,0.7367,0.7535,0.7535,0.7493
1704161,rf,0.7474,0.7504,0.7484,0.7484,0.7489
