size,model,precision,recall,roc_auc,accuracy,f1_score
639208,xgb,0.8057,0.9417,0.8573,0.8573,0.8684
639208,rf,0.8057,0.9411,0.857,0.857,0.8681
107011,xgb,0.8105,0.988,0.8785,0.8785,0.8905
107011,rf,0.8102,0.9856,0.8773,0.8773,0.8893
642501,xgb,0.8075,0.94,0.8579,0.8579,0.8687
642501,rf,0.8073,0.9387,0.8573,0.8573,0.868
1174504,xgb,0.7982,0.9034,0.8375,0.8375,0.8475
1174504,rf,0.7979,0.902,0.8368,0.8368,0.8468
1704161,xgb,0.7901,0.875,0.8213,0.8213,0.8304
1704161,rf,0.79,0.8745,0.821,0.821,0.8301
