size,model,precision,recall,roc_auc,accuracy,f1_score
639208,xgb,0.8305,0.7972,0.8172,0.8172,0.8135
639208,rf,0.8323,0.8078,0.8225,0.8225,0.8199
107011,xgb,0.7905,0.7454,0.7739,0.7739,0.7673
107011,rf,0.7791,0.8127,0.7911,0.7911,0.7955
642501,xgb,0.8362,0.799,0.8213,0.8213,0.8172
642501,rf,0.833,0.803,0.821,0.821,0.8177
1174504,xgb,0.8328,0.7397,0.7956,0.7956,0.7835
1174504,rf,0.8364,0.7487,0.8011,0.8011,0.7901
1704161,xgb,0.8297,0.7153,0.7842,0.7842,0.7682
1704161,rf,0.8355,0.7215,0.7897,0.7897,0.7743
