size,model,precision,recall,roc_auc,accuracy,f1_score
49998,xgb,0.648,0.7003,0.6599,0.6599,0.6731
49998,rf,0.6483,0.6222,0.6423,0.6423,0.635
74999,xgb,0.6485,0.6229,0.6426,0.6426,0.6354
74999,rf,0.6266,0.5791,0.617,0.617,0.6019
100000,xgb,0.6506,0.6191,0.6433,0.6433,0.6344
100000,rf,0.6461,0.5887,0.6331,0.6331,0.6161
124999,xgb,0.6697,0.6291,0.6595,0.6595,0.6488
124999,rf,0.6829,0.6017,0.6611,0.6611,0.6397
149999,xgb,0.6792,0.6051,0.6597,0.6597,0.64
149999,rf,0.6774,0.5861,0.6535,0.6535,0.6284
175000,xgb,0.6999,0.6405,0.6829,0.6829,0.6689
175000,rf,0.7128,0.6245,0.6865,0.6865,0.6658
199997,xgb,0.6782,0.5883,0.6546,0.6546,0.63
199997,rf,0.69,0.5806,0.6599,0.6599,0.6306
224997,xgb,0.6782,0.5725,0.6504,0.6504,0.6209
224997,rf,0.7034,0.5575,0.6612,0.6612,0.622
250000,xgb,0.7171,0.5872,0.6778,0.6778,0.6457
250000,rf,0.7298,0.5612,0.6767,0.6767,0.6345
274999,xgb,0.7061,0.5738,0.6675,0.6675,0.6331
274999,rf,0.7259,0.5327,0.6658,0.6658,0.6145
300000,xgb,0.6856,0.5274,0.6428,0.6428,0.5962
300000,rf,0.7165,0.4977,0.6504,0.6504,0.5874
324999,xgb,0.7205,0.5756,0.6761,0.6761,0.6399
324999,rf,0.748,0.5201,0.6724,0.6724,0.6136
349999,xgb,0.7342,0.568,0.6812,0.6812,0.6405
349999,rf,0.7613,0.5221,0.6792,0.6792,0.6195
374998,xgb,0.7167,0.5398,0.6632,0.6632,0.6158
374998,rf,0.7406,0.5032,0.6635,0.6635,0.5993
400000,xgb,0.7419,0.5444,0.6775,0.6775,0.628
400000,rf,0.7747,0.5222,0.6852,0.6852,0.6238
424999,xgb,0.7255,0.458,0.6424,0.6424,0.5615
424999,rf,0.7614,0.4554,0.6564,0.6564,0.57
449999,xgb,0.7305,0.5071,0.66,0.66,0.5986
449999,rf,0.7977,0.4611,0.6721,0.6721,0.5844
474999,xgb,0.743,0.4983,0.663,0.663,0.5965
474999,rf,0.7819,0.467,0.6684,0.6684,0.5847
