size,model,precision,recall,roc_auc,accuracy,f1_score
49998,xgb,0.6761,0.5995,0.6562,0.6562,0.6355
49998,rf,0.6761,0.5995,0.6562,0.6562,0.6355
74999,xgb,0.722,0.6464,0.6987,0.6987,0.6821
74999,rf,0.7216,0.6453,0.6982,0.6982,0.6813
100000,xgb,0.7212,0.6346,0.6946,0.6946,0.6751
100000,rf,0.7212,0.6346,0.6946,0.6946,0.6751
124999,xgb,0.7105,0.622,0.6843,0.6843,0.6633
124999,rf,0.7098,0.6197,0.6832,0.6832,0.6617
149999,xgb,0.6903,0.6059,0.6671,0.6671,0.6454
149999,rf,0.6902,0.6057,0.6669,0.6669,0.6452
175000,xgb,0.7101,0.628,0.6858,0.6858,0.6665
175000,rf,0.7098,0.627,0.6853,0.6853,0.6658
199997,xgb,0.7073,0.622,0.6823,0.6823,0.6619
199997,rf,0.707,0.6209,0.6818,0.6818,0.6612
224997,xgb,0.7133,0.6271,0.6875,0.6875,0.6674
224997,rf,0.7132,0.6266,0.6873,0.6873,0.6671
250000,xgb,0.7096,0.6247,0.6845,0.6845,0.6645
250000,rf,0.7084,0.6211,0.6827,0.6827,0.6619
274999,xgb,0.7084,0.6172,0.6816,0.6816,0.6597
274999,rf,0.7072,0.6131,0.6797,0.6797,0.6568
300000,xgb,0.7018,0.6148,0.6768,0.6768,0.6555
300000,rf,0.7016,0.6139,0.6764,0.6764,0.6548
324999,xgb,0.6966,0.6055,0.6709,0.6709,0.6479
324999,rf,0.6964,0.6045,0.6705,0.6704,0.6472
349999,xgb,0.7019,0.6155,0.677,0.677,0.6558
349999,rf,0.7012,0.6131,0.6759,0.6759,0.6542
374998,xgb,0.7145,0.6064,0.6821,0.6821,0.656
374998,rf,0.7145,0.605,0.6816,0.6816,0.6552
400000,xgb,0.7135,0.6112,0.6829,0.6829,0.6584
400000,rf,0.7139,0.6102,0.6828,0.6828,0.658
424999,xgb,0.7174,0.6127,0.6857,0.6857,0.6609
424999,rf,0.7175,0.6125,0.6856,0.6856,0.6608
449999,xgb,0.7181,0.607,0.6844,0.6844,0.6579
449999,rf,0.718,0.6066,0.6842,0.6842,0.6577
474999,xgb,0.7137,0.607,0.6817,0.6817,0.656
474999,rf,0.7134,0.6058,0.6812,0.6812,0.6552
499997,xgb,0.7147,0.6088,0.6829,0.6829,0.6575
499997,rf,0.7143,0.6068,0.682,0.682,0.6562
