size,model,precision,recall,roc_auc,accuracy,f1_score
49998,xgb,0.6509,0.6952,0.6612,0.6612,0.6724
49998,rf,0.6832,0.728,0.6952,0.6952,0.7049
74999,xgb,0.679,0.6645,0.6752,0.6752,0.6717
74999,rf,0.6869,0.6538,0.6779,0.6779,0.67
100000,xgb,0.6982,0.7278,0.7066,0.7066,0.7127
100000,rf,0.6916,0.6669,0.6848,0.6848,0.679
124999,xgb,0.7097,0.7353,0.7172,0.7172,0.7223
124999,rf,0.6895,0.663,0.6822,0.6822,0.676
149999,xgb,0.6861,0.6484,0.6759,0.6759,0.6668
149999,rf,0.704,0.6508,0.6886,0.6886,0.6764
175000,xgb,0.7078,0.658,0.6932,0.6932,0.682
175000,rf,0.7011,0.6213,0.6782,0.6782,0.6588
199997,xgb,0.7139,0.6659,0.6995,0.6995,0.6891
199997,rf,0.7047,0.6208,0.6804,0.6804,0.6601
224997,xgb,0.7001,0.6144,0.6756,0.6756,0.6544
224997,rf,0.7154,0.5947,0.679,0.679,0.6495
250000,xgb,0.7152,0.6723,0.7023,0.7023,0.6931
250000,rf,0.7282,0.6137,0.6923,0.6923,0.6661
274999,xgb,0.7265,0.672,0.7095,0.7095,0.6982
274999,rf,0.7355,0.6146,0.6968,0.6968,0.6696
300000,xgb,0.7294,0.6732,0.7118,0.7118,0.7002
300000,rf,0.7353,0.6054,0.6937,0.6937,0.664
324999,xgb,0.7443,0.6804,0.7234,0.7234,0.711
324999,rf,0.7626,0.6289,0.7166,0.7165,0.6893
349999,xgb,0.7322,0.649,0.7058,0.7058,0.6881
349999,rf,0.7505,0.593,0.6979,0.6979,0.6625
374998,xgb,0.7339,0.6282,0.7002,0.7002,0.677
374998,rf,0.7594,0.578,0.6974,0.6974,0.6564
400000,xgb,0.7551,0.6776,0.7289,0.7289,0.7143
400000,rf,0.7691,0.6086,0.713,0.713,0.6795
424999,xgb,0.7455,0.6441,0.7121,0.7121,0.6911
424999,rf,0.7638,0.5822,0.7011,0.7011,0.6608
449999,xgb,0.7547,0.6504,0.7195,0.7195,0.6987
449999,rf,0.7807,0.6028,0.7167,0.7167,0.6803
474999,xgb,0.7626,0.6401,0.7204,0.7204,0.696
474999,rf,0.7783,0.5671,0.7028,0.7028,0.6561
499997,xgb,0.7677,0.6519,0.7273,0.7273,0.7051
499997,rf,0.7854,0.5915,0.715,0.715,0.6748
