size,model,precision,recall,roc_auc,accuracy,f1_score
50000,xgb,0.7302,0.6161,0.6942,0.6942,0.6683
50000,rf,0.7302,0.6161,0.6942,0.6942,0.6683
74998,xgb,0.7203,0.6776,0.7072,0.7072,0.6983
74998,rf,0.7203,0.6776,0.7072,0.7072,0.6983
99996,xgb,0.7223,0.6723,0.7069,0.7069,0.6964
99996,rf,0.7223,0.6723,0.7069,0.7069,0.6964
124997,xgb,0.7237,0.6568,0.703,0.703,0.6886
124997,rf,0.7237,0.6568,0.703,0.703,0.6886
149999,xgb,0.7281,0.6615,0.7073,0.7073,0.6932
149999,rf,0.7281,0.6615,0.7073,0.7073,0.6932
175000,xgb,0.7262,0.6534,0.7036,0.7036,0.6879
175000,rf,0.726,0.6528,0.7032,0.7032,0.6875
199998,xgb,0.7272,0.6438,0.7011,0.7011,0.6829
199998,rf,0.7272,0.6438,0.7011,0.7011,0.6829
224997,xgb,0.723,0.6674,0.7058,0.7058,0.6941
224997,rf,0.7231,0.6672,0.7058,0.7058,0.694
249997,xgb,0.7141,0.6525,0.6956,0.6956,0.6819
249997,rf,0.7141,0.6522,0.6955,0.6955,0.6817
274998,xgb,0.7149,0.6551,0.6969,0.6969,0.6837
274998,rf,0.7143,0.6533,0.696,0.696,0.6825
299998,xgb,0.7143,0.6424,0.6927,0.6927,0.6764
299998,rf,0.714,0.6418,0.6924,0.6924,0.676
325000,xgb,0.7223,0.6446,0.6984,0.6984,0.6812
325000,rf,0.7224,0.6442,0.6983,0.6983,0.6811
349999,xgb,0.7136,0.6363,0.6905,0.6905,0.6727
349999,rf,0.7134,0.6356,0.6901,0.6901,0.6723
374999,xgb,0.72,0.6356,0.6942,0.6942,0.6751
374999,rf,0.7198,0.6357,0.6941,0.6941,0.6751
399997,xgb,0.7147,0.6373,0.6914,0.6914,0.6738
399997,rf,0.7145,0.6366,0.6911,0.6911,0.6733
424999,xgb,0.7138,0.6383,0.6912,0.6912,0.6739
424999,rf,0.7138,0.6382,0.6912,0.6912,0.6739
450000,xgb,0.7137,0.6348,0.6901,0.6901,0.6719
450000,rf,0.7134,0.6337,0.6895,0.6895,0.6712
475000,xgb,0.7107,0.6364,0.6887,0.6887,0.6715
475000,rf,0.7109,0.6363,0.6888,0.6888,0.6716
499998,xgb,0.7117,0.6332,0.6884,0.6884,0.6702
499998,rf,0.7106,0.6296,0.6866,0.6866,0.6676
524998,xgb,0.7106,0.6364,0.6886,0.6886,0.6714
524998,rf,0.7103,0.6356,0.6882,0.6882,0.6709
