size,model,precision,recall,roc_auc,accuracy,f1_score
50000,xgb,0.6555,0.6116,0.6451,0.6451,0.6328
50000,rf,0.6681,0.692,0.6741,0.6741,0.6798
74998,xgb,0.6975,0.7697,0.7179,0.7179,0.7318
74998,rf,0.7169,0.7829,0.7368,0.7368,0.7484
99996,xgb,0.6981,0.7575,0.7149,0.7149,0.7266
99996,rf,0.7105,0.7305,0.7164,0.7164,0.7204
124997,xgb,0.7028,0.7461,0.7153,0.7153,0.7238
124997,rf,0.7258,0.7555,0.7351,0.7351,0.7404
149999,xgb,0.7263,0.8183,0.7549,0.7549,0.7695
149999,rf,0.72,0.7521,0.7298,0.7298,0.7357
175000,xgb,0.734,0.754,0.7404,0.7404,0.7439
175000,rf,0.7276,0.758,0.7371,0.7371,0.7425
199998,xgb,0.7264,0.7517,0.7343,0.7343,0.7388
199998,rf,0.7311,0.7502,0.7372,0.7372,0.7406
224997,xgb,0.726,0.722,0.7247,0.7247,0.724
224997,rf,0.7334,0.7277,0.7316,0.7316,0.7306
249997,xgb,0.7245,0.7318,0.7268,0.7268,0.7282
249997,rf,0.7371,0.7018,0.7257,0.7257,0.719
274998,xgb,0.726,0.7346,0.7287,0.7287,0.7303
274998,rf,0.7413,0.7218,0.735,0.735,0.7314
299998,xgb,0.7299,0.7279,0.7292,0.7292,0.7289
299998,rf,0.7261,0.6714,0.7091,0.7091,0.6977
325000,xgb,0.738,0.7358,0.7373,0.7373,0.7369
325000,rf,0.7516,0.7199,0.741,0.741,0.7354
349999,xgb,0.7348,0.7022,0.7244,0.7244,0.7181
349999,rf,0.7496,0.6862,0.7285,0.7285,0.7165
374999,xgb,0.7453,0.7259,0.7389,0.7389,0.7355
374999,rf,0.7534,0.6907,0.7323,0.7323,0.7207
399997,xgb,0.7501,0.726,0.7421,0.7421,0.7378
399997,rf,0.7583,0.6918,0.7356,0.7356,0.7235
424999,xgb,0.7443,0.7041,0.7311,0.7311,0.7236
424999,rf,0.7529,0.6827,0.7293,0.7293,0.7161
450000,xgb,0.7431,0.6869,0.7247,0.7247,0.7139
450000,rf,0.7663,0.6879,0.7391,0.7391,0.725
475000,xgb,0.7472,0.7058,0.7335,0.7335,0.7259
475000,rf,0.769,0.6799,0.7378,0.7378,0.7217
499998,xgb,0.7498,0.6996,0.7331,0.7331,0.7238
499998,rf,0.7712,0.6756,0.7376,0.7376,0.7202
