size,model,precision,recall,roc_auc,accuracy,f1_score
18822,xgb,0.9538,0.8052,0.8831,0.8831,0.8732
18822,rf,0.9846,0.8312,0.9091,0.9091,0.9014
30928,xgb,0.9723,0.7506,0.8646,0.8646,0.8472
30928,rf,0.9606,0.753,0.861,0.861,0.8442
41945,xgb,0.9564,0.7706,0.8677,0.8677,0.8535
41945,rf,0.9607,0.7908,0.8792,0.8792,0.8675
53284,xgb,0.9497,0.752,0.8561,0.8561,0.8394
53284,rf,0.9631,0.7862,0.878,0.878,0.8657
64991,xgb,0.9517,0.8025,0.8809,0.8809,0.8708
64991,rf,0.9548,0.7783,0.8707,0.8707,0.8576
78864,xgb,0.9388,0.7535,0.8522,0.8522,0.836
78864,rf,0.9479,0.7795,0.8683,0.8683,0.8555
91143,xgb,0.9299,0.753,0.8481,0.8481,0.8321
91143,rf,0.9372,0.7592,0.8542,0.8542,0.8389
104305,xgb,0.9319,0.7736,0.8586,0.8586,0.8454
104305,rf,0.9377,0.7577,0.8537,0.8537,0.8381
118692,xgb,0.9227,0.7682,0.852,0.852,0.8384
118692,rf,0.9285,0.7423,0.8426,0.8426,0.825
133721,xgb,0.9157,0.7741,0.8514,0.8514,0.839
133721,rf,0.9262,0.7557,0.8478,0.8478,0.8323
148623,xgb,0.9149,0.7702,0.8493,0.8493,0.8363
148623,rf,0.917,0.7527,0.8422,0.8422,0.8267
163958,xgb,0.9128,0.8092,0.866,0.866,0.8579
163958,rf,0.9213,0.7627,0.8488,0.8488,0.8345
180985,xgb,0.9029,0.7718,0.8444,0.8444,0.8322
180985,rf,0.9121,0.7519,0.8397,0.8397,0.8243
