size,model,precision,recall,roc_auc,accuracy,f1_score
18822,xgb,0.9779,0.8636,0.9221,0.9221,0.9172
18822,rf,0.9846,0.8312,0.9091,0.9091,0.9014
30928,xgb,0.9843,0.8907,0.9382,0.9382,0.9352
30928,rf,0.9897,0.9145,0.9525,0.9525,0.9506
41945,xgb,0.9881,0.8947,0.942,0.942,0.9391
41945,rf,0.9865,0.8893,0.9386,0.9386,0.9354
53284,xgb,0.9928,0.9016,0.9476,0.9476,0.945
53284,rf,0.992,0.9098,0.9512,0.9512,0.9491
64991,xgb,0.985,0.9021,0.9442,0.9442,0.9417
64991,rf,0.9856,0.9054,0.9461,0.9461,0.9438
78864,xgb,0.9789,0.8774,0.9292,0.9292,0.9254
78864,rf,0.9894,0.8833,0.9369,0.9369,0.9333
91143,xgb,0.9837,0.8948,0.94,0.94,0.9371
91143,rf,0.9882,0.893,0.9411,0.9411,0.9382
104305,xgb,0.9835,0.8907,0.9378,0.9378,0.9348
104305,rf,0.9877,0.9088,0.9487,0.9487,0.9466
118692,xgb,0.9822,0.8863,0.9351,0.9351,0.9318
118692,rf,0.9841,0.8899,0.9377,0.9377,0.9346
133721,xgb,0.9814,0.8854,0.9343,0.9343,0.9309
133721,rf,0.9867,0.8823,0.9352,0.9352,0.9316
148623,xgb,0.9788,0.8944,0.9375,0.9375,0.9347
148623,rf,0.9839,0.8883,0.9369,0.9369,0.9336
163958,xgb,0.9791,0.8734,0.9273,0.9273,0.9232
163958,rf,0.9817,0.8795,0.9316,0.9316,0.9278
180985,xgb,0.9761,0.874,0.9263,0.9263,0.9222
180985,rf,0.9827,0.8816,0.9331,0.9331,0.9294
