size,model,precision,recall,roc_auc,accuracy,f1_score
49999,xgb,0.7279,0.8982,0.7813,0.7812,0.8042
49999,rf,0.7489,0.8732,0.7902,0.7902,0.8063
99998,xgb,0.7461,0.8627,0.7846,0.7846,0.8002
99998,rf,0.7536,0.7743,0.7606,0.7606,0.7639
149999,xgb,0.7745,0.8598,0.8047,0.8047,0.8149
149999,rf,0.7759,0.7184,0.7555,0.7555,0.746
199999,xgb,0.77,0.7513,0.7634,0.7634,0.7605
199999,rf,0.7745,0.6667,0.7363,0.7363,0.7166
249999,xgb,0.7926,0.7073,0.7611,0.7611,0.7475
249999,rf,0.7967,0.5931,0.7209,0.7209,0.68
299999,xgb,0.7893,0.7328,0.7686,0.7686,0.76
299999,rf,0.8028,0.6426,0.7424,0.7424,0.7138
349999,xgb,0.7968,0.6895,0.7568,0.7568,0.7393
349999,rf,0.8085,0.5856,0.7235,0.7235,0.6792
400000,xgb,0.7955,0.6708,0.7492,0.7492,0.7279
400000,rf,0.8175,0.5878,0.7283,0.7283,0.6839
449999,xgb,0.809,0.6132,0.7342,0.7342,0.6976
449999,rf,0.8354,0.5084,0.7041,0.7041,0.6321
499998,xgb,0.8066,0.701,0.7664,0.7664,0.7501
499998,rf,0.8322,0.5425,0.7166,0.7166,0.6568
549998,xgb,0.8084,0.6799,0.7594,0.7594,0.7386
549998,rf,0.8261,0.5842,0.7306,0.7306,0.6844
599998,xgb,0.8197,0.6765,0.7638,0.7638,0.7412
599998,rf,0.845,0.5476,0.7236,0.7236,0.6646
649998,xgb,0.8201,0.6896,0.7692,0.7692,0.7492
649998,rf,0.8418,0.5653,0.7295,0.7295,0.6764
699999,xgb,0.8218,0.6654,0.7605,0.7605,0.7354
699999,rf,0.8481,0.5393,0.7214,0.7214,0.6593
750000,xgb,0.8374,0.6327,0.7549,0.7549,0.7208
750000,rf,0.8602,0.5277,0.721,0.721,0.6541
