size,model,precision,recall,roc_auc,accuracy,f1_score
49999,xgb,0.7707,0.8161,0.7866,0.7866,0.7927
49999,rf,0.771,0.8179,0.7875,0.7875,0.7938
99998,xgb,0.7855,0.8337,0.803,0.803,0.8089
99998,rf,0.7857,0.8328,0.8028,0.8028,0.8085
149999,xgb,0.7738,0.8275,0.7928,0.7928,0.7998
149999,rf,0.7741,0.8266,0.7927,0.7927,0.7995
199999,xgb,0.7828,0.824,0.7977,0.7977,0.8028
199999,rf,0.7824,0.8215,0.7965,0.7965,0.8014
249999,xgb,0.7799,0.8294,0.7977,0.7977,0.8039
249999,rf,0.7791,0.8237,0.7951,0.7951,0.8008
299999,xgb,0.7796,0.8246,0.7957,0.7957,0.8015
299999,rf,0.7782,0.8186,0.7927,0.7927,0.7979
349999,xgb,0.7717,0.8208,0.7889,0.7889,0.7955
349999,rf,0.7705,0.8155,0.7863,0.7863,0.7924
400000,xgb,0.7753,0.8189,0.7908,0.7908,0.7965
400000,rf,0.7752,0.8174,0.7902,0.7902,0.7957
449999,xgb,0.7757,0.8195,0.7913,0.7913,0.797
449999,rf,0.7753,0.8176,0.7903,0.7903,0.7959
499998,xgb,0.7703,0.8181,0.7871,0.7871,0.7935
499998,rf,0.7698,0.8157,0.7859,0.7859,0.7921
549998,xgb,0.7773,0.8184,0.792,0.792,0.7973
549998,rf,0.7768,0.816,0.7907,0.7907,0.7959
599998,xgb,0.7741,0.8173,0.7894,0.7894,0.7951
599998,rf,0.7733,0.8135,0.7875,0.7875,0.7929
649998,xgb,0.773,0.8179,0.7889,0.7889,0.7948
649998,rf,0.7727,0.8164,0.7882,0.7882,0.794
699999,xgb,0.7734,0.8189,0.7895,0.7895,0.7955
699999,rf,0.7732,0.8163,0.7885,0.7885,0.7942
750000,xgb,0.7756,0.8187,0.7909,0.7909,0.7966
750000,rf,0.7753,0.8168,0.79,0.79,0.7955
