size,model,precision,recall,roc_auc,accuracy,f1_score
49999,xgb,0.7456,0.9161,0.8018,0.8018,0.8221
49999,rf,0.7402,0.8804,0.7857,0.7857,0.8042
99998,xgb,0.766,0.9006,0.8128,0.8128,0.8279
99998,rf,0.7512,0.8532,0.7853,0.7853,0.799
149999,xgb,0.7714,0.906,0.8187,0.8187,0.8333
149999,rf,0.7813,0.8084,0.7911,0.7911,0.7946
199999,xgb,0.7802,0.8907,0.8199,0.8199,0.8318
199999,rf,0.7807,0.8039,0.789,0.789,0.7921
249999,xgb,0.7832,0.8663,0.8132,0.8132,0.8227
249999,rf,0.7901,0.7605,0.7792,0.7792,0.775
299999,xgb,0.7878,0.861,0.8146,0.8146,0.8228
299999,rf,0.7981,0.7729,0.7887,0.7887,0.7853
349999,xgb,0.8023,0.8765,0.8303,0.8303,0.8378
349999,rf,0.8097,0.7611,0.7911,0.7911,0.7846
400000,xgb,0.8063,0.8753,0.8325,0.8325,0.8394
400000,rf,0.8146,0.7644,0.7952,0.7952,0.7887
449999,xgb,0.8161,0.8706,0.8372,0.8372,0.8425
449999,rf,0.8291,0.7501,0.7977,0.7977,0.7876
499998,xgb,0.8143,0.8623,0.8328,0.8328,0.8376
499998,rf,0.8286,0.7311,0.7899,0.7899,0.7768
549998,xgb,0.8203,0.8531,0.8331,0.8331,0.8364
549998,rf,0.8345,0.7265,0.7912,0.7912,0.7767
599998,xgb,0.8149,0.838,0.8239,0.8239,0.8263
599998,rf,0.8374,0.7186,0.7895,0.7895,0.7735
649998,xgb,0.8265,0.8432,0.8331,0.8331,0.8348
649998,rf,0.8417,0.7202,0.7924,0.7924,0.7762
699999,xgb,0.8321,0.8355,0.8334,0.8334,0.8338
699999,rf,0.8479,0.714,0.793,0.793,0.7752
750000,xgb,0.8348,0.8346,0.8347,0.8347,0.8347
750000,rf,0.8503,0.6923,0.7852,0.7852,0.7632
