size,model,precision,recall,roc_auc,accuracy,f1_score
10000,xgb,0.6981,0.881,0.75,0.75,0.7789
10000,rf,0.7111,0.7619,0.7262,0.7262,0.7356
20000,xgb,0.6748,0.7898,0.7045,0.7045,0.7277
20000,rf,0.7005,0.8239,0.7358,0.7358,0.7572
39999,xgb,0.715,0.843,0.7534,0.7534,0.7737
39999,rf,0.7024,0.8388,0.7417,0.7417,0.7646
59998,xgb,0.7248,0.8452,0.7621,0.7621,0.7803
59998,rf,0.7255,0.8226,0.7556,0.7556,0.771
79999,xgb,0.7182,0.7852,0.7385,0.7385,0.7502
79999,rf,0.722,0.7617,0.7342,0.7342,0.7414
100000,xgb,0.7325,0.7514,0.7385,0.7385,0.7419
100000,rf,0.738,0.7203,0.7323,0.7323,0.729
125000,xgb,0.7452,0.7592,0.7498,0.7498,0.7521
125000,rf,0.7404,0.6682,0.717,0.717,0.7024
150000,xgb,0.7274,0.7135,0.723,0.723,0.7204
150000,rf,0.7435,0.6501,0.7129,0.7129,0.6937
174998,xgb,0.7441,0.6686,0.7193,0.7193,0.7043
174998,rf,0.7569,0.588,0.6996,0.6996,0.6619
199996,xgb,0.7524,0.6993,0.7346,0.7346,0.7249
199996,rf,0.7505,0.5574,0.686,0.686,0.6397
224999,xgb,0.7406,0.5781,0.6878,0.6878,0.6493
224999,rf,0.7639,0.5301,0.6831,0.6831,0.6259
249999,xgb,0.7414,0.6499,0.7116,0.7116,0.6926
249999,rf,0.7686,0.554,0.6936,0.6936,0.6439
274998,xgb,0.756,0.6258,0.7119,0.7119,0.6847
274998,rf,0.7795,0.5145,0.6845,0.6845,0.6198
300000,xgb,0.7597,0.5706,0.6951,0.6951,0.6517
300000,rf,0.7826,0.5225,0.6887,0.6887,0.6266
