size,model,precision,recall,roc_auc,accuracy,f1_score
10000,xgb,0.7619,0.381,0.631,0.631,0.5079
10000,rf,0.7619,0.381,0.631,0.631,0.5079
20000,xgb,0.4954,0.3068,0.4972,0.4972,0.3789
20000,rf,0.4954,0.3068,0.4972,0.4972,0.3789
39999,xgb,0.5833,0.376,0.5537,0.5537,0.4573
39999,rf,0.5833,0.376,0.5537,0.5537,0.4573
59998,xgb,0.6112,0.379,0.569,0.569,0.4679
59998,rf,0.6102,0.3774,0.5681,0.5681,0.4664
79999,xgb,0.5961,0.3643,0.5587,0.5587,0.4522
79999,rf,0.5961,0.3643,0.5587,0.5587,0.4522
100000,xgb,0.5951,0.3568,0.557,0.557,0.4461
100000,rf,0.5881,0.3465,0.5519,0.5519,0.4361
125000,xgb,0.6087,0.3612,0.5645,0.5645,0.4534
125000,rf,0.6047,0.3557,0.5616,0.5616,0.4479
150000,xgb,0.6139,0.383,0.5711,0.5711,0.4717
150000,rf,0.6144,0.3832,0.5713,0.5713,0.472
174998,xgb,0.6405,0.4035,0.5885,0.5885,0.4951
174998,rf,0.6367,0.3968,0.5852,0.5852,0.4889
199996,xgb,0.6373,0.4079,0.5879,0.5879,0.4975
199996,rf,0.6375,0.4075,0.5879,0.5879,0.4972
224999,xgb,0.6404,0.4187,0.5918,0.5918,0.5064
224999,rf,0.6387,0.4153,0.5902,0.5902,0.5034
249999,xgb,0.6541,0.4346,0.6024,0.6024,0.5222
249999,rf,0.6503,0.427,0.5987,0.5987,0.5155
274998,xgb,0.652,0.4424,0.6031,0.6031,0.5271
274998,rf,0.6513,0.4408,0.6024,0.6024,0.5257
300000,xgb,0.653,0.4538,0.6064,0.6064,0.5355
300000,rf,0.651,0.4493,0.6042,0.6042,0.5317
324996,xgb,0.6617,0.4639,0.6134,0.6134,0.5454
324996,rf,0.654,0.4481,0.6055,0.6055,0.5318
