size,model,precision,recall,roc_auc,accuracy,f1_score
99999,xgb,0.7047,0.6909,0.7007,0.7007,0.6977
99999,rf,0.7024,0.596,0.6717,0.6717,0.6448
149999,xgb,0.704,0.6796,0.6969,0.6969,0.6916
149999,rf,0.7204,0.5063,0.6549,0.6549,0.5947
200000,xgb,0.7161,0.6981,0.7107,0.7107,0.707
200000,rf,0.7355,0.556,0.678,0.678,0.6333
249999,xgb,0.7041,0.6009,0.6742,0.6742,0.6484
249999,rf,0.773,0.4832,0.6706,0.6706,0.5947
299997,xgb,0.7098,0.6445,0.6905,0.6905,0.6756
299997,rf,0.7777,0.4533,0.6619,0.6619,0.5728
349999,xgb,0.7296,0.5674,0.6785,0.6785,0.6383
349999,rf,0.831,0.4294,0.671,0.671,0.5662
399998,xgb,0.7102,0.5402,0.6599,0.6599,0.6137
399998,rf,0.8056,0.4138,0.6569,0.6569,0.5467
449996,xgb,0.7662,0.522,0.6814,0.6814,0.621
449996,rf,0.912,0.3792,0.6713,0.6713,0.5357
500000,xgb,0.719,0.533,0.6623,0.6623,0.6122
500000,rf,0.8886,0.3882,0.6698,0.6698,0.5404
549999,xgb,0.7691,0.5021,0.6757,0.6757,0.6076
549999,rf,0.9103,0.3744,0.6687,0.6687,0.5305
600000,xgb,0.7313,0.5659,0.679,0.679,0.6381
600000,rf,0.8603,0.4168,0.6746,0.6746,0.5616
650000,xgb,0.7653,0.5089,0.6764,0.6764,0.6113
650000,rf,0.8922,0.409,0.6798,0.6798,0.5609
700000,xgb,0.7664,0.4836,0.6681,0.6681,0.593
700000,rf,0.8984,0.4006,0.6777,0.6777,0.5541
749999,xgb,0.7843,0.4812,0.6744,0.6744,0.5964
749999,rf,0.9041,0.4007,0.6791,0.6791,0.5553
799997,xgb,0.8245,0.4617,0.6817,0.6817,0.592
799997,rf,0.9282,0.4203,0.6939,0.6939,0.5786
849999,xgb,0.8072,0.4659,0.6773,0.6773,0.5908
849999,rf,0.9186,0.4103,0.687,0.687,0.5673
900000,xgb,0.8001,0.4838,0.6815,0.6815,0.603
900000,rf,0.9315,0.4172,0.6933,0.6933,0.5763
