size,model,precision,recall,roc_auc,accuracy,f1_score
99999,xgb,0.6104,0.3559,0.5644,0.5644,0.4496
99999,rf,0.6107,0.3563,0.5646,0.5646,0.4501
149999,xgb,0.6166,0.3832,0.5725,0.5725,0.4727
149999,rf,0.6146,0.3796,0.5708,0.5708,0.4693
200000,xgb,0.6396,0.4088,0.5892,0.5892,0.4988
200000,rf,0.6362,0.4021,0.5861,0.5861,0.4927
249999,xgb,0.6415,0.4352,0.596,0.596,0.5186
249999,rf,0.6367,0.4259,0.5914,0.5914,0.5104
299997,xgb,0.6533,0.4535,0.6064,0.6064,0.5353
299997,rf,0.6506,0.4479,0.6037,0.6037,0.5305
349999,xgb,0.661,0.4747,0.6157,0.6157,0.5526
349999,rf,0.659,0.4696,0.6133,0.6133,0.5484
399998,xgb,0.6738,0.4913,0.6267,0.6267,0.5683
399998,rf,0.6728,0.4885,0.6255,0.6255,0.566
449996,xgb,0.6806,0.5072,0.6346,0.6346,0.5812
449996,rf,0.6785,0.5026,0.6322,0.6322,0.5774
500000,xgb,0.6861,0.525,0.6424,0.6424,0.5948
500000,rf,0.6854,0.5219,0.6412,0.6412,0.5926
549999,xgb,0.6917,0.5407,0.6498,0.6498,0.6069
549999,rf,0.6909,0.5377,0.6485,0.6485,0.6047
600000,xgb,0.7017,0.5585,0.6605,0.6605,0.6219
600000,rf,0.6996,0.5522,0.6575,0.6575,0.6172
650000,xgb,0.7057,0.5785,0.6686,0.6686,0.6358
650000,rf,0.7043,0.5734,0.6663,0.6663,0.6322
700000,xgb,0.7154,0.5992,0.6804,0.6804,0.6522
700000,rf,0.7144,0.5963,0.679,0.679,0.65
749999,xgb,0.7165,0.6084,0.6838,0.6838,0.658
749999,rf,0.7157,0.6058,0.6826,0.6826,0.6562
799997,xgb,0.7167,0.6169,0.6865,0.6865,0.6631
799997,rf,0.7164,0.6149,0.6857,0.6857,0.6618
849999,xgb,0.7197,0.6205,0.6894,0.6894,0.6664
849999,rf,0.7192,0.6184,0.6885,0.6885,0.665
900000,xgb,0.7184,0.6247,0.6899,0.6899,0.6683
900000,rf,0.7179,0.6216,0.6887,0.6887,0.6663
950000,xgb,0.7219,0.6311,0.694,0.694,0.6735
950000,rf,0.7206,0.627,0.6919,0.6919,0.6705
