size,model,precision,recall,roc_auc,accuracy,f1_score
10000,xgb,0.6122,0.7143,0.631,0.631,0.6593
10000,rf,0.6818,0.7143,0.6905,0.6905,0.6977
20000,xgb,0.6359,0.7841,0.6676,0.6676,0.7023
20000,rf,0.625,0.767,0.6534,0.6534,0.6888
39999,xgb,0.6401,0.7645,0.6674,0.6674,0.6968
39999,rf,0.6482,0.7562,0.6729,0.6729,0.698
59998,xgb,0.6729,0.846,0.7173,0.7173,0.7496
59998,rf,0.6641,0.8194,0.7024,0.7024,0.7336
79999,xgb,0.6702,0.8265,0.7099,0.7099,0.7402
79999,rf,0.6679,0.7973,0.7005,0.7005,0.7269
100000,xgb,0.6929,0.8209,0.7285,0.7285,0.7515
100000,rf,0.6797,0.7817,0.7067,0.7067,0.7272
125000,xgb,0.6777,0.7893,0.7069,0.7069,0.7292
125000,rf,0.6861,0.7796,0.7114,0.7114,0.7298
150000,xgb,0.6792,0.7597,0.7004,0.7004,0.7172
150000,rf,0.686,0.7583,0.7056,0.7056,0.7204
174998,xgb,0.6747,0.7558,0.6957,0.6957,0.713
174998,rf,0.6687,0.7256,0.6831,0.6831,0.696
199996,xgb,0.6835,0.7391,0.6984,0.6984,0.7102
199996,rf,0.6833,0.7101,0.6905,0.6905,0.6964
224999,xgb,0.6861,0.7365,0.6997,0.6997,0.7104
224999,rf,0.6929,0.7277,0.7026,0.7026,0.7099
249999,xgb,0.66,0.6744,0.6635,0.6635,0.6671
249999,rf,0.6703,0.6737,0.6711,0.6711,0.672
274998,xgb,0.6915,0.7383,0.7045,0.7045,0.7141
274998,rf,0.6848,0.7059,0.6905,0.6905,0.6952
300000,xgb,0.6888,0.7398,0.7028,0.7028,0.7134
300000,rf,0.6896,0.6884,0.6893,0.6893,0.689
