size,model,precision,recall,roc_auc,accuracy,f1_score
5634,xgb,0.9313,0.8079,0.8742,0.8742,0.8652
5634,rf,0.9662,0.851,0.9106,0.9106,0.9049
10042,xgb,0.9496,0.8417,0.8985,0.8985,0.8924
10042,rf,0.9351,0.8324,0.8873,0.8873,0.8808
13683,xgb,0.9261,0.8623,0.8968,0.8968,0.8931
13683,rf,0.9263,0.8494,0.8909,0.8909,0.8862
17412,xgb,0.9233,0.8684,0.8981,0.8981,0.895
17412,rf,0.9166,0.8397,0.8816,0.8816,0.8765
22645,xgb,0.9148,0.8449,0.8831,0.8831,0.8785
22645,rf,0.916,0.8747,0.8972,0.8972,0.8949
28249,xgb,0.9064,0.8518,0.8819,0.8819,0.8783
28249,rf,0.9142,0.8371,0.8793,0.8793,0.874
34321,xgb,0.9069,0.8478,0.8804,0.8804,0.8764
34321,rf,0.9061,0.8398,0.8764,0.8764,0.8717
40573,xgb,0.8956,0.8197,0.8621,0.8621,0.856
40573,rf,0.9022,0.8002,0.8567,0.8567,0.8481
47468,xgb,0.8915,0.8348,0.8666,0.8666,0.8622
47468,rf,0.9042,0.83,0.871,0.871,0.8655
54604,xgb,0.8987,0.7799,0.846,0.846,0.8351
54604,rf,0.8934,0.7799,0.8434,0.8434,0.8328
62147,xgb,0.9028,0.7972,0.8557,0.8557,0.8467
62147,rf,0.9067,0.7965,0.8573,0.8573,0.848
69991,xgb,0.8932,0.8165,0.8594,0.8594,0.8531
69991,rf,0.8889,0.7946,0.8476,0.8476,0.8391
78222,xgb,0.8967,0.7743,0.8426,0.8426,0.8311
78222,rf,0.902,0.7824,0.8487,0.8487,0.838
87560,xgb,0.8961,0.7758,0.8429,0.8429,0.8316
87560,rf,0.9062,0.7672,0.8439,0.8439,0.8309
96863,xgb,0.8939,0.7493,0.8302,0.8302,0.8152
96863,rf,0.909,0.7454,0.8354,0.8354,0.8191
