size,model,precision,recall,roc_auc,accuracy,f1_score
5634,xgb,0.9035,0.9305,0.9156,0.9156,0.9168
5634,rf,0.9115,0.9205,0.9156,0.9156,0.916
10042,xgb,0.9206,0.9497,0.9339,0.9339,0.9349
10042,rf,0.926,0.9553,0.9395,0.9395,0.9404
13683,xgb,0.9253,0.9494,0.9364,0.9364,0.9372
13683,rf,0.9264,0.9481,0.9364,0.9364,0.9371
17412,xgb,0.9232,0.9448,0.9331,0.9331,0.9339
17412,rf,0.9274,0.9352,0.931,0.931,0.9313
22645,xgb,0.897,0.8915,0.8946,0.8946,0.8943
22645,rf,0.9083,0.9076,0.9079,0.9079,0.9079
28249,xgb,0.9024,0.9061,0.9041,0.9041,0.9043
28249,rf,0.9022,0.9097,0.9055,0.9055,0.9059
34321,xgb,0.8948,0.9016,0.8978,0.8978,0.8982
34321,rf,0.8981,0.8973,0.8978,0.8978,0.8977
40573,xgb,0.9004,0.8893,0.8955,0.8955,0.8949
40573,rf,0.9,0.885,0.8933,0.8933,0.8924
47468,xgb,0.8941,0.8574,0.8779,0.8779,0.8753
47468,rf,0.8978,0.8529,0.8779,0.8779,0.8748
54604,xgb,0.8933,0.8751,0.8853,0.8853,0.8841
54604,rf,0.8993,0.8833,0.8922,0.8922,0.8912
62147,xgb,0.8893,0.8567,0.875,0.875,0.8727
62147,rf,0.889,0.8441,0.8693,0.8693,0.866
69991,xgb,0.8866,0.864,0.8767,0.8767,0.8751
69991,rf,0.8782,0.8606,0.8706,0.8706,0.8693
78222,xgb,0.8843,0.8683,0.8773,0.8773,0.8762
78222,rf,0.8821,0.86,0.8726,0.8726,0.8709
87560,xgb,0.8841,0.8454,0.8673,0.8673,0.8643
87560,rf,0.8894,0.8223,0.86,0.86,0.8545
96863,xgb,0.8829,0.8366,0.8628,0.8628,0.8591
96863,rf,0.8897,0.8334,0.865,0.865,0.8606
