size,model,precision,recall,roc_auc,accuracy,f1_score
49998,xgb,0.8861,0.4378,0.6908,0.6907,0.586
49998,rf,0.8861,0.4378,0.6908,0.6907,0.586
99995,xgb,0.9408,0.6549,0.8069,0.8068,0.7723
99995,rf,0.9408,0.6549,0.8069,0.8068,0.7723
149995,xgb,0.9553,0.7421,0.8537,0.8537,0.8353
149995,rf,0.9553,0.7421,0.8537,0.8537,0.8353
199993,xgb,0.9611,0.7875,0.8778,0.8778,0.8657
199993,rf,0.9611,0.7875,0.8778,0.8778,0.8657
249980,xgb,0.9679,0.8104,0.8918,0.8918,0.8822
249980,rf,0.9679,0.8104,0.8918,0.8918,0.8822
299983,xgb,0.9686,0.8287,0.9009,0.9009,0.8932
299983,rf,0.9686,0.8287,0.9009,0.9009,0.8932
349971,xgb,0.9693,0.8473,0.9102,0.9102,0.9042
349971,rf,0.9693,0.8473,0.9102,0.9102,0.9042
399967,xgb,0.9724,0.8543,0.9151,0.9151,0.9096
399967,rf,0.9724,0.8543,0.9151,0.9151,0.9096
449971,xgb,0.9739,0.8629,0.9199,0.9199,0.915
449971,rf,0.9739,0.8629,0.9199,0.9199,0.915
499962,xgb,0.9731,0.8722,0.924,0.924,0.9199
499962,rf,0.9731,0.8722,0.924,0.924,0.9199
549953,xgb,0.9747,0.8763,0.9268,0.9268,0.9229
549953,rf,0.9747,0.8763,0.9268,0.9268,0.9229
599959,xgb,0.9762,0.8804,0.9294,0.9294,0.9258
599959,rf,0.9762,0.8804,0.9294,0.9294,0.9258
649934,xgb,0.9746,0.8874,0.9322,0.9321,0.929
649934,rf,0.9746,0.8874,0.9322,0.9321,0.929
