size,model,precision,recall,roc_auc,accuracy,f1_score
49998,xgb,0.7061,0.6122,0.6787,0.6786,0.6558
49998,rf,0.7061,0.6122,0.6787,0.6786,0.6558
99995,xgb,0.7623,0.6741,0.7319,0.7319,0.7155
99995,rf,0.7623,0.6741,0.7319,0.7319,0.7155
149995,xgb,0.7809,0.712,0.7561,0.7561,0.7448
149995,rf,0.7809,0.712,0.7561,0.7561,0.7448
199993,xgb,0.7977,0.7379,0.7754,0.7754,0.7667
199993,rf,0.7977,0.7379,0.7754,0.7754,0.7667
249980,xgb,0.8141,0.7522,0.7902,0.7902,0.7819
249980,rf,0.8141,0.7522,0.7902,0.7902,0.7819
299983,xgb,0.8306,0.764,0.8041,0.8041,0.7959
299983,rf,0.8306,0.764,0.8041,0.8041,0.7959
349971,xgb,0.8458,0.7767,0.8175,0.8175,0.8098
349971,rf,0.8458,0.7767,0.8175,0.8175,0.8098
399967,xgb,0.8639,0.784,0.8302,0.8302,0.822
399967,rf,0.8639,0.784,0.8302,0.8302,0.822
449971,xgb,0.882,0.7929,0.8434,0.8434,0.8351
449971,rf,0.882,0.7929,0.8434,0.8434,0.8351
499962,xgb,0.8989,0.8021,0.856,0.8559,0.8478
499962,rf,0.8989,0.8021,0.856,0.8559,0.8478
549953,xgb,0.9117,0.8129,0.8671,0.8671,0.8595
549953,rf,0.9117,0.8129,0.8671,0.8671,0.8595
599959,xgb,0.9237,0.8242,0.878,0.878,0.8711
599959,rf,0.9237,0.8242,0.878,0.878,0.8711
649934,xgb,0.9331,0.8358,0.888,0.888,0.8818
649934,rf,0.9331,0.8358,0.888,0.888,0.8818
