size,model,precision,recall,roc_auc,accuracy,f1_score
49998,xgb,0.8468,0.5207,0.7132,0.7132,0.6448
49998,rf,0.8468,0.5207,0.7132,0.7132,0.6448
99995,xgb,0.9257,0.7442,0.8422,0.8422,0.8251
99995,rf,0.9257,0.7442,0.8422,0.8422,0.8251
149995,xgb,0.9457,0.8147,0.884,0.884,0.8754
149995,rf,0.9457,0.8147,0.884,0.884,0.8754
199993,xgb,0.9543,0.8482,0.9038,0.9038,0.8981
199993,rf,0.9543,0.8482,0.9038,0.9038,0.8981
249980,xgb,0.9565,0.8667,0.9136,0.9136,0.9094
249980,rf,0.9565,0.8667,0.9136,0.9136,0.9094
299983,xgb,0.9585,0.8793,0.9206,0.9206,0.9172
299983,rf,0.9585,0.8793,0.9206,0.9206,0.9172
349971,xgb,0.9615,0.8862,0.9253,0.9253,0.9223
349971,rf,0.9615,0.8862,0.9253,0.9253,0.9223
399967,xgb,0.9641,0.8947,0.9307,0.9307,0.9281
399967,rf,0.9641,0.8947,0.9307,0.9307,0.9281
449971,xgb,0.9627,0.8982,0.9317,0.9317,0.9294
449971,rf,0.9627,0.8982,0.9317,0.9317,0.9294
499962,xgb,0.9634,0.9037,0.9347,0.9347,0.9326
499962,rf,0.9634,0.9037,0.9347,0.9347,0.9326
549953,xgb,0.9643,0.9074,0.9369,0.9369,0.935
549953,rf,0.9643,0.9074,0.9369,0.9369,0.935
599959,xgb,0.9659,0.9096,0.9387,0.9387,0.9369
599959,rf,0.9659,0.9096,0.9387,0.9387,0.9369
649934,xgb,0.9652,0.9122,0.9396,0.9396,0.9379
649934,rf,0.9652,0.9122,0.9396,0.9396,0.9379
