size,model,precision,recall,roc_auc,accuracy,f1_score
49999,xgb,0.5481,0.2017,0.5177,0.5177,0.2949
49999,rf,0.5711,0.2203,0.5274,0.5274,0.318
99999,xgb,0.6324,0.2508,0.5525,0.5525,0.3592
99999,rf,0.6387,0.2513,0.5546,0.5546,0.3607
150000,xgb,0.6578,0.2685,0.5644,0.5644,0.3814
150000,rf,0.6545,0.2653,0.5626,0.5626,0.3776
199999,xgb,0.6635,0.2791,0.5688,0.5688,0.3929
199999,rf,0.6646,0.2723,0.5675,0.5674,0.3864
249999,xgb,0.6875,0.3219,0.5878,0.5878,0.4385
249999,rf,0.6866,0.3051,0.5829,0.5829,0.4225
299999,xgb,0.6948,0.3123,0.5875,0.5875,0.4309
299999,rf,0.6928,0.2988,0.5831,0.5831,0.4175
349999,xgb,0.7007,0.3221,0.5923,0.5923,0.4413
349999,rf,0.6951,0.305,0.5856,0.5856,0.4239
399999,xgb,0.7161,0.3636,0.6097,0.6097,0.4823
399999,rf,0.7124,0.3353,0.5999,0.5999,0.4559
449999,xgb,0.7098,0.3244,0.5959,0.5959,0.4453
449999,rf,0.7048,0.3128,0.5909,0.5909,0.4333
499998,xgb,0.7165,0.3326,0.6005,0.6005,0.4543
499998,rf,0.7083,0.318,0.5935,0.5935,0.4389
549999,xgb,0.7034,0.3233,0.5935,0.5935,0.443
549999,rf,0.7035,0.3172,0.5917,0.5917,0.4373
599999,xgb,0.7301,0.3651,0.6151,0.6151,0.4868
599999,rf,0.7279,0.3551,0.6112,0.6112,0.4774
649998,xgb,0.7443,0.3664,0.6203,0.6203,0.4911
649998,rf,0.7354,0.3587,0.6148,0.6148,0.4822
999998,xgb,0.7762,0.3799,0.6352,0.6352,0.5101
999998,rf,0.7682,0.3721,0.6299,0.6299,0.5013
