size,model,precision,recall,roc_auc,accuracy,f1_score
49999,xgb,0.56,0.1454,0.5156,0.5155,0.2308
49999,rf,0.5495,0.1464,0.5132,0.5131,0.2312
99996,xgb,0.647,0.2215,0.5503,0.5503,0.33
99996,rf,0.6301,0.2179,0.545,0.545,0.3239
149999,xgb,0.6336,0.2313,0.5488,0.5488,0.3389
149999,rf,0.6075,0.2257,0.5399,0.5399,0.3292
199999,xgb,0.6146,0.2387,0.5445,0.5445,0.3438
199999,rf,0.6072,0.2354,0.5415,0.5415,0.3392
249999,xgb,0.6229,0.2542,0.5502,0.5502,0.3611
249999,rf,0.6055,0.248,0.5432,0.5432,0.3519
299996,xgb,0.6049,0.2594,0.545,0.545,0.3631
299996,rf,0.599,0.2671,0.5442,0.5442,0.3695
349997,xgb,0.6344,0.2717,0.5576,0.5576,0.3804
349997,rf,0.6267,0.2759,0.5558,0.5558,0.3832
399995,xgb,0.6458,0.2899,0.5655,0.5655,0.4002
399995,rf,0.6408,0.2902,0.5638,0.5638,0.3995
449998,xgb,0.6448,0.2951,0.5663,0.5663,0.4049
449998,rf,0.6351,0.2878,0.5612,0.5612,0.3961
499998,xgb,0.643,0.3034,0.5675,0.5675,0.4123
499998,rf,0.6344,0.3043,0.5645,0.5645,0.4113
549998,xgb,0.6473,0.3029,0.5689,0.5689,0.4127
549998,rf,0.6353,0.3007,0.564,0.564,0.4082
599997,xgb,0.6443,0.307,0.5687,0.5687,0.4158
599997,rf,0.63,0.3005,0.562,0.562,0.4069
649996,xgb,0.6503,0.316,0.573,0.573,0.4253
649996,rf,0.6381,0.3136,0.5679,0.5679,0.4205
699997,xgb,0.6394,0.3135,0.5683,0.5683,0.4207
699997,rf,0.6309,0.3129,0.5649,0.5649,0.4183
749996,xgb,0.6456,0.3218,0.5726,0.5726,0.4295
749996,rf,0.6403,0.3233,0.5709,0.5709,0.4296
799997,xgb,0.6657,0.3297,0.5821,0.5821,0.441
799997,rf,0.6562,0.3333,0.5793,0.5793,0.442
