size,model,precision,recall,roc_auc,accuracy,f1_score
49999,xgb,0.6397,0.0841,0.5184,0.5183,0.1487
49999,rf,0.6576,0.0839,0.5201,0.52,0.1488
99996,xgb,0.6729,0.1231,0.5316,0.5316,0.2082
99996,rf,0.6747,0.121,0.5313,0.5313,0.2052
149999,xgb,0.6692,0.1581,0.54,0.54,0.2557
149999,rf,0.6773,0.1566,0.541,0.541,0.2544
199999,xgb,0.6688,0.1664,0.542,0.542,0.2666
199999,rf,0.6665,0.1626,0.5406,0.5406,0.2615
249999,xgb,0.6802,0.1895,0.5502,0.5502,0.2964
249999,rf,0.6824,0.1858,0.5496,0.5496,0.292
299996,xgb,0.6887,0.207,0.5567,0.5567,0.3184
299996,rf,0.6904,0.2034,0.5561,0.5561,0.3142
349997,xgb,0.7081,0.2239,0.5658,0.5658,0.3402
349997,rf,0.7042,0.2209,0.564,0.564,0.3363
399995,xgb,0.7203,0.2364,0.5723,0.5723,0.356
399995,rf,0.7183,0.2341,0.5712,0.5712,0.3532
449998,xgb,0.7039,0.2395,0.5694,0.5694,0.3574
449998,rf,0.7033,0.2365,0.5684,0.5684,0.354
499998,xgb,0.7086,0.2584,0.5761,0.5761,0.3787
499998,rf,0.7093,0.255,0.5752,0.5752,0.3752
549998,xgb,0.7178,0.2777,0.5842,0.5842,0.4005
549998,rf,0.7187,0.2744,0.5835,0.5835,0.3972
599997,xgb,0.7189,0.2864,0.5872,0.5872,0.4096
599997,rf,0.7178,0.2836,0.5861,0.586,0.4065
649996,xgb,0.7287,0.3172,0.5995,0.5995,0.442
649996,rf,0.7309,0.3153,0.5996,0.5996,0.4406
699997,xgb,0.7364,0.3385,0.6087,0.6087,0.4638
699997,rf,0.7353,0.3347,0.6071,0.6071,0.46
749996,xgb,0.7547,0.358,0.6208,0.6208,0.4857
749996,rf,0.7549,0.3584,0.621,0.621,0.486
799997,xgb,0.7698,0.3826,0.6341,0.6341,0.5111
799997,rf,0.7717,0.3784,0.6332,0.6332,0.5078
