size,model,precision,recall,roc_auc,accuracy,f1_score
49999,xgb,0.4958,0.1414,0.4988,0.4987,0.22
49999,rf,0.3866,0.0399,0.4883,0.4882,0.0724
99996,xgb,0.5332,0.1929,0.512,0.512,0.2833
99996,rf,0.4818,0.0386,0.4985,0.4985,0.0715
149999,xgb,0.5754,0.2402,0.5315,0.5315,0.339
149999,rf,0.5523,0.0917,0.5087,0.5087,0.1573
199999,xgb,0.5923,0.2575,0.5401,0.5401,0.3589
199999,rf,0.5785,0.1164,0.5158,0.5158,0.1938
249999,xgb,0.6013,0.2836,0.5478,0.5477,0.3854
249999,rf,0.5959,0.1273,0.5205,0.5205,0.2098
299996,xgb,0.6098,0.3177,0.5572,0.5572,0.4177
299996,rf,0.6095,0.1552,0.5279,0.5279,0.2474
349997,xgb,0.6299,0.3275,0.5675,0.5675,0.431
349997,rf,0.6233,0.1797,0.5355,0.5355,0.279
399995,xgb,0.6461,0.3466,0.5784,0.5784,0.4512
399995,rf,0.6474,0.1961,0.5446,0.5446,0.301
449998,xgb,0.6343,0.3606,0.5764,0.5764,0.4598
449998,rf,0.6338,0.2358,0.5498,0.5498,0.3438
499998,xgb,0.6476,0.3699,0.5843,0.5843,0.4708
499998,rf,0.6426,0.2764,0.5613,0.5613,0.3866
549998,xgb,0.6552,0.3817,0.5904,0.5904,0.4824
549998,rf,0.6414,0.3688,0.5813,0.5813,0.4683
599997,xgb,0.6583,0.395,0.595,0.595,0.4937
599997,rf,0.6429,0.3888,0.5864,0.5864,0.4846
649996,xgb,0.6598,0.4231,0.6025,0.6025,0.5156
649996,rf,0.6441,0.4406,0.5986,0.5986,0.5233
699997,xgb,0.6628,0.4299,0.6056,0.6056,0.5215
699997,rf,0.65,0.443,0.6023,0.6023,0.5269
749996,xgb,0.6678,0.4391,0.6103,0.6103,0.5298
749996,rf,0.6579,0.4532,0.6088,0.6088,0.5367
799997,xgb,0.6586,0.4401,0.606,0.606,0.5276
799997,rf,0.6465,0.4501,0.602,0.602,0.5307
