size,model,precision,recall,roc_auc,accuracy,f1_score
50000,xgb,0.6702,0.5481,0.6392,0.6392,0.603
50000,rf,0.6702,0.5481,0.6392,0.6392,0.603
99999,xgb,0.6828,0.5896,0.6578,0.6578,0.6328
99999,rf,0.6828,0.5896,0.6578,0.6578,0.6328
149998,xgb,0.6885,0.6033,0.6652,0.6652,0.6431
149998,rf,0.6885,0.6033,0.6652,0.6652,0.6431
199998,xgb,0.6967,0.6205,0.6752,0.6752,0.6564
199998,rf,0.6967,0.6205,0.6752,0.6752,0.6564
249999,xgb,0.7042,0.6146,0.6782,0.6782,0.6564
249999,rf,0.7042,0.6146,0.6782,0.6782,0.6564
299998,xgb,0.7114,0.6301,0.6872,0.6872,0.6683
299998,rf,0.7114,0.6301,0.6872,0.6872,0.6683
349999,xgb,0.7136,0.6276,0.6878,0.6878,0.6678
349999,rf,0.7136,0.6276,0.6878,0.6878,0.6678
399999,xgb,0.7251,0.6472,0.7009,0.7009,0.6839
399999,rf,0.7251,0.6472,0.7009,0.7009,0.6839
449998,xgb,0.7253,0.6335,0.6967,0.6967,0.6763
449998,rf,0.7253,0.6335,0.6967,0.6967,0.6763
499998,xgb,0.7329,0.6508,0.7068,0.7068,0.6894
499998,rf,0.7329,0.6508,0.7068,0.7068,0.6894
549998,xgb,0.7392,0.647,0.7094,0.7094,0.69
549998,rf,0.7392,0.647,0.7094,0.7094,0.69
599998,xgb,0.745,0.6504,0.7139,0.7139,0.6945
599998,rf,0.745,0.6504,0.7139,0.7139,0.6945
649999,xgb,0.7522,0.6474,0.7171,0.7171,0.6959
649999,rf,0.7522,0.6474,0.7171,0.7171,0.6959
699999,xgb,0.7539,0.6535,0.7201,0.7201,0.7001
699999,rf,0.7539,0.6535,0.7201,0.7201,0.7001
999998,xgb,0.858,0.6868,0.7866,0.7866,0.7629
999998,rf,0.858,0.6868,0.7866,0.7866,0.7629
1999996,xgb,0.855,0.7253,0.8012,0.8012,0.7848
1999996,rf,0.855,0.7253,0.8012,0.8012,0.7848

