size,model,precision,recall,roc_auc,accuracy,f1_score
500000,xgb,0.766,0.5042,0.6751,0.6751,0.6081
500000,rf,0.766,0.5042,0.6751,0.6751,0.6081
999998,xgb,0.7984,0.5902,0.7206,0.7206,0.6787
999998,rf,0.7984,0.5902,0.7206,0.7206,0.6787
1499998,xgb,0.8059,0.5905,0.7241,0.7241,0.6816
1499998,rf,0.8059,0.5905,0.7241,0.7241,0.6816
1999995,xgb,0.8113,0.6052,0.7322,0.7322,0.6932
1999995,rf,0.8113,0.6052,0.7322,0.7322,0.6932
2499995,xgb,0.8255,0.6351,0.7504,0.7504,0.7179
2499995,rf,0.8255,0.6351,0.7504,0.7504,0.7179
